Sample No,Start (Local time),Stop (Local time),Nitrate [µg/m³],Ammonium [µg/m³]
704,09/01/2012 12:04,11/01/2012 21:04,1.428,0.0231
706,12/01/2012 15:07,13/01/2012 12:00,1.7942,0.0112
707,13/01/2012 12:00,14/01/2012 12:00,1.7434,0.0102
708,14/01/2012 12:00,15/01/2012 12:00,2.0938,0.0102
709,15/01/2012 12:00,16/01/2012 12:00,3.5072,0.0663
710,16/01/2012 12:00,17/01/2012 12:00,3.0878,0.0489
711,17/01/2012 12:00,18/01/2012 12:00,2.5937,0.0707
712,18/01/2012 12:00,19/01/2012 12:00,1.0823,0.0003
713,19/01/2012 12:00,20/01/2012 12:00,1.3646,0.0717
714,20/01/2012 12:00,21/01/2012 12:00,0.7176,0.0312
715,21/01/2012 12:00,22/01/2012 12:00,0.743,0.0188
716,22/01/2012 12:00,23/01/2012 12:00,1.1052,0.1204
717,23/01/2012 12:00,24/01/2012 12:00,1.2893,0.1225
718,24/01/2012 12:00,25/01/2012 12:00,1.4711,0.0499
719,25/01/2012 12:00,26/01/2012 12:00,1.3852,0.1149
720,26/01/2012 12:00,27/01/2012 12:00,1.1553,0.0749
721,27/01/2012 12:00,28/01/2012 12:11,1.1922,0.0668
722,28/01/2012 12:11,29/01/2012 12:11,1.3606,0.2029
723,29/01/2012 12:11,30/01/2012 12:11,1.818,0.1455
725,30/01/2012 12:11,31/01/2012 11:59,1.4252,0.1985
724,31/01/2012 12:01,01/02/2012 12:01,1.3089,0.1733
726,01/02/2012 12:01,02/02/2012 12:01,1.5599,0.0918
727,02/02/2012 12:01,03/02/2012 12:01,2.2516,0.171
728,03/02/2012 12:01,04/02/2012 12:01,1.5288,0.0271
729,04/02/2012 12:01,05/02/2012 12:01,1.0373,0.1166
730,05/02/2012 12:01,06/02/2012 12:01,2.0872,0.1548
731,06/02/2012 12:01,07/02/2012 12:01,2.0687,0.1212
732,07/02/2012 12:01,08/02/2012 14:55,1.9763,0.1289
733,08/02/2012 14:55,09/02/2012 12:02,1.5455,0.0875
734,09/02/2012 12:03,10/02/2012 12:54,1.1762,0.1106
735,10/02/2012 12:54,11/02/2012 12:41,1.2952,0.1672
736,11/02/2012 12:42,12/02/2012 12:43,1.7743,0.0398
737,12/02/2012 12:43,13/02/2012 12:43,1.529,0.1216
738,13/02/2012 12:43,14/02/2012 12:43,1.275,0.1238
739,14/02/2012 12:43,15/02/2012 11:54,1.3743,0.2104
740,15/02/2012 12:00,16/02/2012 12:00,0.9909,0.2056
741,16/02/2012 12:00,17/02/2012 12:00,0.8191,0.2293
742,17/02/2012 12:00,20/02/2012 12:36,1.0324,0.2268
743,20/02/2012 12:36,23/02/2012 16:06,1.3145,0.2112
744,23/02/2012 16:06,26/02/2012 16:06,1.5654,0.2666
745,26/02/2012 16:06,29/02/2012 16:06,1.1726,0.0847
746,29/02/2012 16:06,03/03/2012 16:06,1.317,0.1598
747,03/03/2012 16:06,06/03/2012 16:06,1.6523,0.2481
748,06/03/2012 16:06,07/03/2012 13:07,3.0411,0.3912
749,07/03/2012 13:11,08/03/2012 13:10,2.5182,0.3906
750,08/03/2012 13:10,09/03/2012 13:10,2.1302,0.0285
751,09/03/2012 13:11,10/03/2012 13:10,2.2672,0.1639
752,10/03/2012 13:10,11/03/2012 13:10,3.5453,0.1227
753,11/03/2012 13:10,12/03/2012 13:10,3.2455,0.2505
754,12/03/2012 13:10,13/03/2012 13:10,3.3705,0.3367
755,13/03/2012 13:10,14/03/2012 13:10,2.8658,0.2893
756,14/03/2012 13:20,15/03/2012 13:20,2.8678,0.1155
757,15/03/2012 15:20,16/03/2012 15:20,2.8016,0.0591
758,16/03/2012 15:20,17/03/2012 15:20,2.3918,0.0699
759,17/03/2012 15:20,18/03/2012 15:20,2.6876,0.1046
760,18/03/2012 15:20,19/03/2012 15:20,2.3156,0.0488
761,19/03/2012 15:20,20/03/2012 15:20,2.4716,0.0675
762,20/03/2012 15:20,21/03/2012 15:20,1.6642,0.04
763,21/03/2012 15:20,22/03/2012 13:55,1.3248,0.0646
764,22/03/2012 13:56,25/03/2012 13:57,1.0419,0.2427
765,25/03/2012 13:57,28/03/2012 13:57,0.562,0.2134
766,28/03/2012 13:57,31/03/2012 13:57,0.743,0.2368
767,31/03/2012 13:57,03/04/2012 14:06,0.3508,0.0525
768,03/04/2012 14:06,06/04/2012 14:07,0.7438,0.0942
769,06/04/2012 14:08,09/04/2012 14:10,0.4818,0.1705
770,09/04/2012 14:10,12/04/2012 14:10,0.7818,0.251
771,12/04/2012 14:10,15/04/2012 00:00,,
772,17/04/2012 11:10,19/04/2012 11:33,0.6229,0.0268
773,19/04/2012 11:33,22/04/2012 11:33,0.3406,0.1803
774,22/04/2012 11:33,23/04/2012 12:13,1.4638,0.2079
775,23/04/2012 12:15,24/04/2012 12:15,1.1182,0.0641
776,24/04/2012 12:57,27/04/2012 12:57,0.8372,0.0193
777,27/04/2012 12:57,30/04/2012 12:57,0.679,0.0956
778,30/04/2012 12:57,03/05/2012 12:57,1.0559,0.0237
779,03/05/2012 12:57,06/05/2012 12:57,0.722,0.0287
780,06/05/2012 12:57,09/05/2012 12:57,1.0113,0.1249
781,09/05/2012 12:57,12/05/2012 12:57,0.8125,0.0381
782,12/05/2012 12:57,15/05/2012 12:57,1.0842,0.0187
783,15/05/2012 12:57,18/05/2012 12:57,0.9644,0.0206
784,18/05/2012 12:57,21/05/2012 12:57,0.7107,0.034
785,21/05/2012 12:57,24/05/2012 12:57,1.1288,0.1048
786,24/05/2012 12:57,27/05/2012 12:57,0.833,0.0986
787,27/05/2012 12:57,30/05/2012 12:57,1.0639,0.096
788,30/05/2012 12:57,02/06/2012 12:57,0.5707,0.0278
789,02/06/2012 12:57,05/06/2012 12:57,0.8591,0.0493
790,05/06/2012 12:57,08/06/2012 13:00,0.7826,0.0179
791,08/06/2012 13:00,11/06/2012 13:00,1.0089,0.049
792,11/06/2012 13:00,14/06/2012 13:00,0.8134,0.013
793,14/06/2012 13:00,17/06/2012 13:00,0.9423,0.0513
794,17/06/2012 13:00,20/06/2012 13:00,1.2092,0.0385
795,20/06/2012 13:00,23/06/2012 13:00,1.0172,0.2037
796,23/06/2012 13:00,26/06/2012 13:00,1.0225,0.0132
797,26/06/2012 13:00,28/06/2012 01:00,1.2852,0.3157
798,28/06/2012 12:01,29/06/2012 12:09,1.5648,0.2965
799,29/06/2012 12:09,30/06/2012 12:09,1.7359,0.0576
800,30/06/2012 12:09,01/07/2012 12:09,2.0502,0.1809
801,01/07/2012 12:09,02/07/2012 12:09,0.9965,0.0729
802,03/07/2012 10:00,06/07/2012 10:00,1.3165,0.0918
803,06/07/2012 10:00,09/07/2012 10:00,1.4477,0.2868
804,09/07/2012 10:00,12/07/2012 10:00,1.3902,0.1859
805,12/07/2012 10:00,13/07/2012 10:00,3.0247,0.0495
806,13/07/2012 10:00,14/07/2012 10:00,1.5757,0.008
807,14/07/2012 10:00,15/07/2012 10:00,0.7391,0.0702
808,15/07/2012 10:00,16/07/2012 10:00,0.8116,0.1912
809,16/07/2012 10:00,19/07/2012 10:00,1.3037,0.1824
810,19/07/2012 10:00,22/07/2012 10:00,2.2187,0.2047
811,22/07/2012 10:00,25/07/2012 10:00,1.9042,0.0836
812,25/07/2012 10:00,28/07/2012 10:00,1.2464,0.0399
813,28/07/2012 10:00,31/07/2012 10:00,1.0847,0.1395
814,31/07/2012 10:00,03/08/2012 10:00,1.3184,0.0931
815,03/08/2012 10:00,06/08/2012 10:00,0.9987,0.0617
816,06/08/2012 10:00,09/08/2012 10:00,1.5297,0.0121
817,09/08/2012 10:00,12/08/2012 10:00,0.9393,0.0191
818,12/08/2012 10:00,15/08/2012 10:00,1.2029,0.101
819,15/08/2012 10:00,18/08/2012 10:00,1.5259,0.0364
820,18/08/2012 10:00,21/08/2012 10:00,1.081,0.025
821,21/08/2012 10:00,24/08/2012 10:00,1.3466,0.0555
822,24/08/2012 10:00,25/08/2012 10:00,2.6791,0.0383
823,25/08/2012 10:00,26/08/2012 10:00,0.3279,0.016
824,26/08/2012 10:00,27/08/2012 10:00,0.6881,0.0265
825,27/08/2012 10:00,30/08/2012 10:00,0.8641,0.0322
826,30/08/2012 10:00,31/08/2012 10:00,1.0303,0.063
827,31/08/2012 11:57,01/09/2012 12:00,1.9135,0.0354
