SITE_GAW_ID,DATE,DATE,DATE,TIME,TIME,TIME,END_YEAR,END_MONTH,END_DAY,END_HOUR,END_MIN,END_SEC,CH4_VALUE,CH4_VALUE_UNC,CH4_NVALUE,LAT,LONG,ALT,ELEVATION,INTAKE,QC_Flag
CVO,2020,01,01,00,0,0,-999,-9,-9,-9,-9,-9,1912.82,0.377,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,01,01,0,0,-999,-9,-9,-9,-9,-9,1914.8,0.829,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,01,02,0,0,-999,-9,-9,-9,-9,-9,1916.49,0.319,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,01,03,0,0,-999,-9,-9,-9,-9,-9,1916.64,0.259,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,01,04,0,0,-999,-9,-9,-9,-9,-9,1915.39,0.301,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,01,05,0,0,-999,-9,-9,-9,-9,-9,1916.22,0.415,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,01,06,0,0,-999,-9,-9,-9,-9,-9,1916.95,0.143,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,01,07,0,0,-999,-9,-9,-9,-9,-9,1917.2,0.136,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,01,08,0,0,-999,-9,-9,-9,-9,-9,1918.07,0.220,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,01,09,0,0,-999,-9,-9,-9,-9,-9,1918.17,0.151,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,01,10,0,0,-999,-9,-9,-9,-9,-9,1918.35,0.341,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,01,11,0,0,-999,-9,-9,-9,-9,-9,1920.87,1.146,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,01,12,0,0,-999,-9,-9,-9,-9,-9,1923.99,0.736,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,01,13,0,0,-999,-9,-9,-9,-9,-9,1924.59,0.186,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,01,14,0,0,-999,-9,-9,-9,-9,-9,1924.81,0.297,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,01,15,0,0,-999,-9,-9,-9,-9,-9,1925.39,0.100,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,01,16,0,0,-999,-9,-9,-9,-9,-9,1925.71,0.410,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,01,17,0,0,-999,-9,-9,-9,-9,-9,1927.08,0.262,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,01,18,0,0,-999,-9,-9,-9,-9,-9,1927.24,0.116,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,01,19,0,0,-999,-9,-9,-9,-9,-9,1927.7,0.135,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,01,20,0,0,-999,-9,-9,-9,-9,-9,1928.26,0.197,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,01,21,0,0,-999,-9,-9,-9,-9,-9,1928.58,0.174,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,01,22,0,0,-999,-9,-9,-9,-9,-9,1928.85,0.124,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,01,23,0,0,-999,-9,-9,-9,-9,-9,1928.83,0.195,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,02,00,0,0,-999,-9,-9,-9,-9,-9,1928.89,0.138,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,02,01,0,0,-999,-9,-9,-9,-9,-9,1929.39,0.311,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,02,02,0,0,-999,-9,-9,-9,-9,-9,1929.79,0.243,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,02,03,0,0,-999,-9,-9,-9,-9,-9,1929.75,0.282,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,02,04,0,0,-999,-9,-9,-9,-9,-9,1929.78,0.222,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,02,05,0,0,-999,-9,-9,-9,-9,-9,1929.66,0.287,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,02,06,0,0,-999,-9,-9,-9,-9,-9,1929.92,0.246,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,02,07,0,0,-999,-9,-9,-9,-9,-9,1930.09,0.368,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,02,08,0,0,-999,-9,-9,-9,-9,-9,1929.86,0.334,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,02,09,0,0,-999,-9,-9,-9,-9,-9,1929.06,0.337,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,02,10,0,0,-999,-9,-9,-9,-9,-9,1928.4,0.580,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,02,11,0,0,-999,-9,-9,-9,-9,-9,1926.39,0.511,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,02,12,0,0,-999,-9,-9,-9,-9,-9,1926.52,0.265,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,02,13,0,0,-999,-9,-9,-9,-9,-9,1927.12,0.286,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,02,14,0,0,-999,-9,-9,-9,-9,-9,1927.92,0.239,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,02,15,0,0,-999,-9,-9,-9,-9,-9,1928.4,0.489,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,02,16,0,0,-999,-9,-9,-9,-9,-9,1931.5,0.918,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,02,17,0,0,-999,-9,-9,-9,-9,-9,1933.07,0.407,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,02,18,0,0,-999,-9,-9,-9,-9,-9,1932.27,0.646,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,02,19,0,0,-999,-9,-9,-9,-9,-9,1931.22,0.191,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,02,20,0,0,-999,-9,-9,-9,-9,-9,1931.3,0.273,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,01,02,21,0,0,-999,-9,-9,-9,-9,-9,1931.36,0.281,60,16.864025,-24.867519,10,17,-999.999,0
