SITE_GAW_ID,START_YEAR,START_MONTH,START_DAY,START_HOUR,START_MIN,START_SEC,END_YEAR,END_MONTH,END_DAY,END_HOUR,END_MIN,END_SEC,CO2_Value,CO2_VALUE_UNC,CO2_NVALUE,LAT,LONG,ALT,ELEVATION,INTAKE,QC_Flag
CVO,2016,01,01,00,0,0,-999,-9,-9,-9,-9,-9,402.84,0.021,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,01,01,0,0,-999,-9,-9,-9,-9,-9,402.89,0.016,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,01,02,0,0,-999,-9,-9,-9,-9,-9,402.92,0.017,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,01,03,0,0,-999,-9,-9,-9,-9,-9,403.00,0.033,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,01,04,0,0,-999,-9,-9,-9,-9,-9,403.06,0.017,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,01,05,0,0,-999,-9,-9,-9,-9,-9,403.08,0.016,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,01,06,0,0,-999,-9,-9,-9,-9,-9,403.11,0.014,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,01,07,0,0,-999,-9,-9,-9,-9,-9,403.13,0.014,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,01,08,0,0,-999,-9,-9,-9,-9,-9,403.17,0.019,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,01,09,0,0,-999,-9,-9,-9,-9,-9,403.17,0.026,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,01,10,0,0,-999,-9,-9,-9,-9,-9,403.21,0.030,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,01,11,0,0,-999,-9,-9,-9,-9,-9,403.25,0.022,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,01,12,0,0,-999,-9,-9,-9,-9,-9,403.23,0.023,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,01,13,0,0,-999,-9,-9,-9,-9,-9,403.17,0.043,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,01,14,0,0,-999,-9,-9,-9,-9,-9,403.19,0.039,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,01,15,0,0,-999,-9,-9,-9,-9,-9,403.17,0.044,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,01,16,0,0,-999,-9,-9,-9,-9,-9,403.13,0.035,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,01,17,0,0,-999,-9,-9,-9,-9,-9,403.12,0.048,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,01,18,0,0,-999,-9,-9,-9,-9,-9,403.14,0.049,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,01,19,0,0,-999,-9,-9,-9,-9,-9,403.06,0.054,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,01,20,0,0,-999,-9,-9,-9,-9,-9,402.97,0.040,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,01,21,0,0,-999,-9,-9,-9,-9,-9,402.96,0.034,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2016,01,01,22,0,0,-999,-9,-9,-9,-9,-9,402.98,0.028,60,16.864025,-24.867519,10,17,-999.999,0
