SITE_GAW_ID,DATE,DATE,DATE,TIME,TIME,TIME,END_YEAR,END_MONTH,END_DAY,END_HOUR,END_MIN,END_SEC,CO2_VALUE,CO2_VALUE_UNC,CO2_NVALUE,LAT,LONG,ALT,ELEVATION,INTAKE,QC_flag
CVO,2020,1,1,0,0,0,-999,-9,-9,-9,-9,-9,412.28,0.028,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,1,1,0,0,-999,-9,-9,-9,-9,-9,412.27,0.025,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,1,2,0,0,-999,-9,-9,-9,-9,-9,412.26,0.023,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,1,3,0,0,-999,-9,-9,-9,-9,-9,412.22,0.031,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,1,4,0,0,-999,-9,-9,-9,-9,-9,412.15,0.027,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,1,5,0,0,-999,-9,-9,-9,-9,-9,412.22,0.044,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,1,6,0,0,-999,-9,-9,-9,-9,-9,412.34,0.046,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,1,7,0,0,-999,-9,-9,-9,-9,-9,412.41,0.042,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,1,8,0,0,-999,-9,-9,-9,-9,-9,412.5,0.034,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,1,9,0,0,-999,-9,-9,-9,-9,-9,412.49,0.023,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,1,10,0,0,-999,-9,-9,-9,-9,-9,412.56,0.023,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,1,11,0,0,-999,-9,-9,-9,-9,-9,412.74,0.095,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,1,12,0,0,-999,-9,-9,-9,-9,-9,412.97,0.04,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,1,13,0,0,-999,-9,-9,-9,-9,-9,412.95,0.027,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,1,14,0,0,-999,-9,-9,-9,-9,-9,412.95,0.041,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,1,15,0,0,-999,-9,-9,-9,-9,-9,412.96,0.048,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,1,16,0,0,-999,-9,-9,-9,-9,-9,413.09,0.11,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,1,17,0,0,-999,-9,-9,-9,-9,-9,413.36,0.051,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,1,18,0,0,-999,-9,-9,-9,-9,-9,413.43,0.027,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,1,19,0,0,-999,-9,-9,-9,-9,-9,413.52,0.029,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,1,20,0,0,-999,-9,-9,-9,-9,-9,413.64,0.029,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,1,21,0,0,-999,-9,-9,-9,-9,-9,413.7,0.016,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,1,22,0,0,-999,-9,-9,-9,-9,-9,413.7,0.02,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,1,23,0,0,-999,-9,-9,-9,-9,-9,413.66,0.029,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,2,0,0,0,-999,-9,-9,-9,-9,-9,413.67,0.036,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,2,1,0,0,-999,-9,-9,-9,-9,-9,413.68,0.035,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,2,2,0,0,-999,-9,-9,-9,-9,-9,413.77,0.038,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,2,3,0,0,-999,-9,-9,-9,-9,-9,413.77,0.042,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,2,4,0,0,-999,-9,-9,-9,-9,-9,413.77,0.038,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,2,5,0,0,-999,-9,-9,-9,-9,-9,413.76,0.03,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,2,6,0,0,-999,-9,-9,-9,-9,-9,413.78,0.03,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,2,7,0,0,-999,-9,-9,-9,-9,-9,413.85,0.048,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,2,8,0,0,-999,-9,-9,-9,-9,-9,413.89,0.033,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,2,9,0,0,-999,-9,-9,-9,-9,-9,413.85,0.026,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,2,10,0,0,-999,-9,-9,-9,-9,-9,413.81,0.041,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,2,11,0,0,-999,-9,-9,-9,-9,-9,413.67,0.047,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,2,12,0,0,-999,-9,-9,-9,-9,-9,413.64,0.032,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,2,13,0,0,-999,-9,-9,-9,-9,-9,413.71,0.034,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,2,14,0,0,-999,-9,-9,-9,-9,-9,413.79,0.03,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,2,15,0,0,-999,-9,-9,-9,-9,-9,413.79,0.073,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,2,16,0,0,-999,-9,-9,-9,-9,-9,414.08,0.082,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,2,17,0,0,-999,-9,-9,-9,-9,-9,414.27,0.047,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,2,18,0,0,-999,-9,-9,-9,-9,-9,414.24,0.052,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,2,19,0,0,-999,-9,-9,-9,-9,-9,414.2,0.033,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,2,20,0,0,-999,-9,-9,-9,-9,-9,414.29,0.027,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,2,21,0,0,-999,-9,-9,-9,-9,-9,414.34,0.028,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,2,22,0,0,-999,-9,-9,-9,-9,-9,414.4,0.033,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,2,23,0,0,-999,-9,-9,-9,-9,-9,414.5,0.03,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,3,0,0,0,-999,-9,-9,-9,-9,-9,414.53,0.024,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,3,1,0,0,-999,-9,-9,-9,-9,-9,414.54,0.021,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,3,2,0,0,-999,-9,-9,-9,-9,-9,414.52,0.033,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,3,3,0,0,-999,-9,-9,-9,-9,-9,414.48,0.045,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,3,4,0,0,-999,-9,-9,-9,-9,-9,414.43,0.031,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,3,5,0,0,-999,-9,-9,-9,-9,-9,414.52,0.044,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,3,6,0,0,-999,-9,-9,-9,-9,-9,414.66,0.043,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,3,7,0,0,-999,-9,-9,-9,-9,-9,414.72,0.034,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,3,8,0,0,-999,-9,-9,-9,-9,-9,414.72,0.032,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,3,9,0,0,-999,-9,-9,-9,-9,-9,414.71,0.018,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,3,10,0,0,-999,-9,-9,-9,-9,-9,414.65,0.039,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,3,11,0,0,-999,-9,-9,-9,-9,-9,414.65,0.038,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,3,12,0,0,-999,-9,-9,-9,-9,-9,414.68,0.033,60,16.864025,-24.867519,10,17,-999.999,0
CVO,2020,1,3,13,0,0,-999,-9,-9,-9,-9,-9,414.71,0.049,60,16.864025,-24.867519,10,17,-999.999,0
