Datetime,Precision_ppbv
2006-10-02,NaN
2006-11-01,NaN
2006-12-01,NaN
2007-01-01,NaN
2007-02-01,NaN
2007-03-01,NaN
2007-04-01,NaN
2007-05-01,NaN
2007-06-01,NaN
2007-07-01,NaN
2007-08-01,NaN
2007-09-01,NaN
2007-10-01,NaN
2007-11-01,NaN
2007-12-01,NaN
2008-01-01,NaN
2008-02-01,NaN
2008-03-01,NaN
2008-04-01,NaN
2008-05-01,NaN
2008-06-01,NaN
2008-07-01,NaN
2008-08-01,NaN
2008-09-01,NaN
2008-10-01,NaN
2008-11-01,NaN
2008-12-01,NaN
2009-01-01,NaN
2009-02-01,NaN
2009-03-01,NaN
2009-04-01,NaN
2009-05-01,NaN
2009-06-01,NaN
2009-07-01,NaN
2009-08-01,NaN
2009-09-01,NaN
2009-10-01,NaN
2009-11-01,NaN
2009-12-01,NaN
2010-01-01,NaN
2010-02-01,NaN
2010-03-01,NaN
2010-04-01,NaN
2010-05-01,NaN
2010-05-06,NaN
2010-05-17,NaN
2010-06-01,NaN
2010-07-01,NaN
2010-08-01,NaN
2010-09-01,NaN
2010-10-01,NaN
2010-11-01,NaN
2010-12-01,NaN
2011-01-01,NaN
2011-02-01,NaN
2011-03-01,NaN
2011-04-01,NaN
2011-05-01,NaN
2011-06-01,NaN
2011-07-01,NaN
2011-08-01,NaN
2011-09-01,NaN
2011-10-01,NaN
2011-11-01,0.58
2011-12-01,0.58
2012-01-20,0.58
2012-02-01,0.55
2012-03-01,2.31
2012-04-01,2.31
2012-05-01,2.20
2012-06-01,1.78
2012-07-01,2.25
2012-08-01,2.30
2012-09-01,2.07
2012-10-01,2.14
2012-11-01,2.20
2012-12-01,0.7
2013-01-01,0.57
2013-02-01,0.39
2013-03-01,0.64
2013-04-01,0.64
2013-05-01,0.66
2013-06-01,0.68
2013-07-01,0.74
2013-08-01,0.51
2013-09-01,0.91
2013-10-01,0.49
2013-11-01,0.51
2013-12-01,0.56
2014-01-01,0.53
2014-02-01,0.52
2014-03-01,0.47
2014-04-01,0.44
2014-05-01,0.46
2014-06-01,0.48
2014-07-01,0.48
2014-08-01,0.48
2014-09-01,0.52
2014-10-01,0.46
2014-11-01,0.46
2014-12-01,0.51
2015-01-01,0.51
2015-02-01,0.45
2015-03-01,0.41
2015-04-01,0.41
2015-05-01,0.41
2015-06-01,0.45
2015-07-01,0.41
2015-08-01,0.41
2015-09-01,0.41
2015-10-01,0.56
2015-11-01,0.57
2015-12-01,0.56
2016-01-01,0.56
2016-02-01,0.56
2016-03-01,0.48
2016-04-01,0.48
2016-05-01,0.54
2016-06-01,0.54
2016-07-01,0.41
2016-08-01,0.59
2016-09-01,0.55
2016-10-01,0.40
2016-11-01,0.58
2016-12-01,0.45
2017-01-01,0.70
2017-02-01,0.53
2017-03-01,0.52
2017-04-01,0.60
2017-05-31,0.88
2017-06-30,0.88
2017-07-31,0.88
2017-08-31,0.67
2017-09-30,1.11
2018-01-31,0.69
2018-02-28,0.53
2018-03-31,0.52
2018-04-30,0.52
2018-05-31,0.52
2018-06-30,0.44
2018-07-31,0.61
2018-08-31,0.61
2018-09-30,0.52
2018-11-30,0.44
2018-12-31,0.44
2019-01-31,0.44
2019-02-28,0.60
