,Value
1991-06-14 06:28:00,57.15
1991-06-18 02:00:00,58.29
1991-06-18 02:00:00,58.66
1991-07-15 03:16:00,63.23
1991-07-15 03:16:00,63.94
1991-07-23 04:15:00,64.25
1991-07-23 04:15:00,64.51
1991-08-06 01:41:00,64.39
1991-08-06 01:41:00,64.97
1991-08-15 02:31:00,65.32
1991-08-15 02:31:00,66.28
1991-08-30 05:42:00,68.75
1991-08-30 05:42:00,68.61
1991-09-03 04:27:00,71.25
1991-09-03 04:27:00,70.24
1991-09-11 01:36:00,69.77
1991-09-11 01:36:00,70.46
1991-09-19 05:59:00,71.27
1991-09-19 05:59:00,69.94
1991-09-30 00:45:00,75.89
1991-09-30 00:45:00,75.71
1991-10-02 04:59:00,76.11
1991-10-02 04:59:00,76.06
1991-10-07 03:34:00,78.28
1991-10-07 03:34:00,80.02
1991-10-17 02:35:00,78.55
1991-10-17 02:35:00,78.24
1991-10-22 01:47:00,79.8
1991-10-22 01:47:00,80.18
1991-11-04 01:16:00,71.97
1991-11-20 02:46:00,75.02
1991-11-20 02:46:00,73.1
1991-11-29 00:17:00,73.71
1991-12-23 02:56:00,65.37
1991-12-23 02:56:00,65.66
1992-01-02 23:04:00,61.76
1992-01-02 23:04:00,63.06
1992-01-14 02:18:00,60.34
1992-01-14 02:18:00,59.69
1992-01-23 00:56:00,60.46
1992-01-23 00:56:00,59.78
1992-01-31 00:59:00,57.59
1992-01-31 00:59:00,57.78
1992-02-12 03:58:00,55.46
1992-02-12 03:58:00,55.19
1992-02-26 01:59:00,52.91
1992-02-26 01:59:00,52.67
1992-03-06 01:59:00,54.41
1992-03-06 01:59:00,52.99
1992-03-16 01:34:00,53.88
1992-03-16 01:34:00,53.86
1992-03-27 03:59:00,54.27
1992-03-27 03:59:00,52.58
1992-04-07 02:46:00,53.94
1992-04-07 02:46:00,53.99
1992-04-16 03:26:00,55.01
1992-04-16 03:26:00,55.11
1992-04-22 05:18:00,54.89
1992-04-22 05:18:00,55.77
1992-04-30 05:45:00,61.87
1992-04-30 05:45:00,61.75
1992-05-13 01:55:00,57.5
1992-05-13 01:55:00,57.21
1992-05-26 05:38:00,59.93
1992-05-26 05:38:00,59.67
1992-06-02 02:22:00,61.12
1992-06-02 02:22:00,60.59
1992-06-10 04:22:00,59.5
1992-06-10 04:22:00,60.38
1992-07-09 02:50:00,65.7
1992-07-09 02:50:00,64.32
1992-07-15 04:55:00,70.21
1992-07-15 04:55:00,70.61
1992-07-22 05:08:00,66.27
1992-07-29 01:55:00,68.67
1992-07-29 01:55:00,68.74
1992-08-03 04:33:00,67.71
1992-08-03 04:33:00,66.81
1992-08-11 05:57:00,69.15
1992-08-11 05:57:00,67.89
1992-08-17 04:00:00,67.28
1992-09-02 04:04:00,69.97
1992-09-02 04:04:00,70.68
1992-09-11 02:00:00,69.75
1992-09-11 02:00:00,70.35
1992-09-15 05:48:00,69.26
1992-09-15 05:48:00,68.5
1992-09-24 04:57:00,69.08
1992-09-29 04:12:00,70.09
1992-10-01 04:04:00,68.63
1992-10-01 04:04:00,69.3
1992-10-19 04:00:00,73.4
1992-10-19 04:19:00,68.39
1992-10-19 04:19:00,68.64
1992-11-05 01:21:00,65.45
1992-11-05 01:21:00,65.42
1992-11-25 01:43:00,60.12
1992-12-14 01:59:00,55.92
1992-12-14 01:59:00,55.87
1993-01-04 02:17:00,51.69
1993-01-04 02:17:00,52.21
1993-01-06 03:38:00,50.16
1993-01-06 03:38:00,50.5
1993-01-12 01:04:00,46.06
1993-01-12 01:04:00,44.95
1993-02-11 23:47:00,42.86
1993-02-11 23:47:00,43.17
1993-02-16 04:31:00,45.31
1993-02-16 04:31:00,47.12
1993-02-20 09:06:00,42.1
1993-02-20 09:06:00,41.41
1993-02-24 04:35:00,44.01
1993-02-24 04:35:00,44.12
1993-03-02 03:59:00,42.0
1993-03-10 01:09:00,45.5
1993-03-10 01:09:00,46.59
1993-03-29 02:55:00,51.25
1993-03-29 02:55:00,50.3
1993-04-01 01:45:00,47.43
1993-04-01 01:45:00,45.96
1993-04-20 03:30:00,50.63
1993-04-20 03:30:00,50.53
1993-05-03 02:40:00,51.86
1993-05-03 02:40:00,50.64
1993-05-11 01:55:00,53.08
1993-05-11 01:55:00,51.79
1993-05-17 03:37:00,53.86
1993-05-17 03:37:00,52.6
1993-05-25 02:18:00,53.54
1993-05-25 02:18:00,51.87
1993-06-07 04:59:00,54.31
1993-06-07 04:59:00,55.56
1993-06-21 02:19:00,57.54
1993-06-21 02:19:00,57.99
1993-07-16 01:15:00,59.58
1993-07-16 01:15:00,59.93
1993-07-26 03:20:00,63.99
1993-07-26 03:20:00,62.32
1993-08-03 02:14:00,63.16
1993-08-03 02:14:00,61.94
1993-08-11 01:51:00,65.1
1993-08-11 01:51:00,66.51
1993-09-02 05:56:00,68.36
1993-09-02 05:56:00,68.8
1993-09-09 03:25:00,71.52
1993-09-09 03:25:00,70.97
1993-09-20 02:37:00,68.96
1993-09-20 02:37:00,68.08
1993-10-04 01:59:00,70.87
1993-10-04 01:59:00,70.24
1993-10-11 00:43:00,69.73
1993-10-11 00:43:00,69.29
1993-10-19 00:20:00,70.24
1993-10-19 00:20:00,69.54
1993-10-26 02:03:00,69.05
1993-10-26 02:03:00,68.04
1993-11-15 02:17:00,66.42
1993-11-15 02:17:00,65.06
1993-11-22 03:43:00,62.88
1993-11-22 03:43:00,62.01
1993-12-15 04:37:00,53.78
1993-12-15 04:37:00,52.86
1993-12-17 03:45:00,53.7
1993-12-17 03:45:00,53.12
1993-12-20 00:46:00,56.3
1993-12-20 00:46:00,54.66
1993-12-30 01:52:00,52.67
1993-12-30 01:52:00,51.51
1994-01-18 05:15:00,50.01
1994-01-27 05:16:00,49.17
1994-01-27 05:16:00,47.14
1994-02-15 05:07:00,44.31
1994-02-15 05:07:00,44.48
1994-02-18 05:18:00,45.68
1994-02-18 05:18:00,45.75
1994-02-25 01:28:00,49.38
1994-02-25 01:28:00,47.53
1994-03-03 04:12:00,46.7
1994-03-14 03:40:00,46.56
1994-03-14 03:40:00,45.83
1994-04-02 02:36:00,50.43
1994-04-02 02:36:00,48.08
1994-04-07 01:28:00,47.84
1994-04-07 01:28:00,46.93
1994-04-14 05:03:00,53.23
1994-04-14 05:03:00,52.48
1994-04-28 06:36:00,48.93
1994-04-28 06:36:00,48.74
1994-05-12 06:00:00,53.16
1994-05-12 06:00:00,53.44
1994-05-18 06:11:00,52.89
1994-05-18 06:11:00,51.75
1994-05-26 05:50:00,57.66
1994-05-26 05:50:00,57.68
1994-06-06 04:37:00,57.91
1994-06-06 04:37:00,57.67
1994-06-15 03:14:00,57.67
1994-06-15 03:14:00,57.08
1994-06-30 23:59:00,61.65
1994-07-13 02:25:00,60.79
1994-07-13 02:25:00,59.99
1994-07-18 01:14:00,60.26
1994-07-18 01:14:00,60.18
1994-07-25 01:26:00,65.9
1994-07-25 01:26:00,63.1
1994-08-08 01:17:00,62.76
1994-08-08 01:17:00,62.02
1994-08-15 00:46:00,64.78
1994-08-15 00:46:00,65.07
1994-08-23 01:16:00,67.2
1994-08-23 01:16:00,66.8
1994-08-29 02:17:00,67.1
1994-08-29 02:17:00,66.06
1994-09-05 01:52:00,66.44
1994-09-16 03:26:00,69.03
1994-09-16 03:26:00,68.85
1994-09-19 01:28:00,70.46
1994-09-19 01:28:00,70.68
1994-09-26 01:53:00,73.92
1994-09-26 01:53:00,74.2
1994-10-05 00:58:00,74.8
1994-10-05 00:58:00,74.12
1994-10-11 02:15:00,72.07
1994-10-11 02:15:00,72.12
1994-10-18 04:48:00,72.41
1994-10-18 04:48:00,71.24
1994-10-26 03:36:00,78.61
1994-10-26 03:36:00,77.0
1994-11-03 00:59:00,72.09
1994-11-03 00:59:00,71.16
1994-11-08 03:25:00,67.92
1994-11-08 03:25:00,67.63
1994-11-15 03:04:00,68.99
1994-11-15 03:04:00,67.23
1994-11-21 00:49:00,66.58
1994-11-21 00:49:00,66.17
1994-12-08 00:03:00,62.29
1994-12-14 01:43:00,59.91
1994-12-14 01:43:00,60.89
1994-12-21 03:43:00,58.8
1994-12-21 03:43:00,57.12
1994-12-28 23:38:00,56.69
1994-12-28 23:38:00,57.69
1995-01-12 01:32:00,55.8
1995-01-12 01:32:00,54.23
1995-02-08 03:47:00,49.22
1995-02-08 03:47:00,48.2
1995-02-17 02:52:00,45.8
1995-02-17 02:52:00,45.26
1995-02-22 02:30:00,46.34
1995-02-22 02:30:00,46.94
1995-03-09 00:07:00,46.06
1995-03-13 04:08:00,47.74
1995-03-13 04:08:00,45.82
1995-03-20 04:56:00,49.72
1995-03-20 04:56:00,46.91
1995-03-27 04:12:00,45.0
1995-03-27 04:12:00,44.07
1995-04-05 05:15:00,44.93
1995-04-05 05:15:00,45.21
1995-04-12 04:27:00,51.55
1995-04-12 04:27:00,51.0
1995-04-19 02:20:00,48.64
1995-04-19 02:20:00,48.86
1995-04-24 02:45:00,49.87
1995-04-24 02:45:00,48.71
1995-05-05 05:33:00,51.9
1995-05-05 05:33:00,51.69
1995-05-15 05:48:00,50.95
