,Value
2010-02-11 08:53:00,40.52
2010-02-11 08:53:00,40.27
2010-02-18 08:57:00,44.34
2010-02-18 08:57:00,43.35
2010-02-22 09:01:00,44.54
2010-02-22 09:01:00,44.3
2010-02-25 10:11:00,43.28
2010-02-25 10:11:00,43.02
2010-03-10 09:50:00,41.3
2010-03-15 10:47:00,47.24
2010-03-15 10:47:00,47.04
2010-03-18 10:06:00,43.14
2010-03-18 10:06:00,42.94
2010-03-29 10:15:00,45.38
2010-03-29 10:15:00,45.12
2010-04-01 08:17:00,52.39
2010-04-01 08:17:00,52.56
2010-04-06 09:05:00,48.28
2010-04-06 09:05:00,50.01
2010-04-15 10:59:00,43.94
2010-04-15 10:59:00,44.01
2010-04-28 10:02:00,46.42
2010-04-28 10:02:00,46.48
2010-05-07 08:30:00,46.34
2010-05-07 08:30:00,46.13
2010-05-24 11:13:00,48.74
2010-05-24 11:13:00,49.09
2010-05-31 08:14:00,55.01
2010-05-31 08:14:00,55.81
2010-06-10 09:22:00,55.41
2010-06-10 09:22:00,55.49
2010-06-14 09:47:00,51.53
2010-06-14 09:47:00,51.2
2010-06-25 09:06:00,63.73
2010-06-25 09:06:00,63.71
2010-07-01 06:35:00,61.3
2010-07-01 06:35:00,60.86
2010-07-06 07:40:00,55.22
2010-07-06 07:40:00,55.13
2010-07-15 11:28:00,56.05
2010-07-15 11:28:00,56.17
2010-07-29 08:50:00,60.69
2010-07-29 08:50:00,59.94
2010-08-10 08:52:00,66.75
2010-08-10 08:52:00,66.23
2010-08-16 09:12:00,64.61
2010-08-16 09:12:00,65.91
2010-08-23 08:38:00,64.49
2010-08-23 08:38:00,65.05
2010-09-06 08:35:00,63.05
2010-09-06 08:35:00,62.78
2010-09-16 08:54:00,64.26
2010-09-16 08:54:00,63.96
2010-09-30 09:10:00,72.54
2010-09-30 09:10:00,71.93
2010-10-04 09:01:00,73.64
2010-10-04 09:01:00,73.86
2010-10-18 11:04:00,74.17
2010-10-18 11:04:00,73.81
2010-10-25 08:30:00,68.58
2010-10-25 08:30:00,68.22
2010-11-01 08:32:00,73.81
2010-11-01 08:32:00,74.88
2010-11-15 09:00:00,71.91
2010-11-15 09:00:00,71.83
2010-11-22 08:59:00,67.11
2010-11-22 08:59:00,67.04
2010-11-30 09:01:00,63.62
2010-11-30 09:01:00,63.53
2010-12-02 08:59:00,60.67
2010-12-02 08:59:00,60.71
2010-12-06 08:59:00,59.88
2010-12-06 08:59:00,59.26
2010-12-13 09:37:00,56.9
2010-12-13 09:37:00,56.33
2010-12-27 05:05:00,50.26
2010-12-27 05:05:00,50.59
2011-01-10 09:00:00,47.59
2011-01-10 09:00:00,47.58
2011-01-17 08:56:00,46.79
2011-01-17 09:31:00,46.5
2011-01-17 09:31:00,45.9
2011-01-24 09:29:00,46.31
2011-01-24 09:29:00,46.34
2011-01-31 08:30:00,49.35
2011-01-31 08:30:00,48.97
2011-02-21 08:30:00,42.26
2011-02-21 08:30:00,42.1
2011-02-28 08:32:00,48.52
2011-02-28 08:32:00,47.63
2011-03-14 08:30:00,42.75
2011-03-14 08:30:00,43.06
2011-03-17 08:35:00,46.42
2011-03-17 08:35:00,46.15
2011-03-24 12:00:00,49.41
2011-03-24 12:00:00,50.4
2011-04-26 08:43:00,44.39
2011-04-26 08:43:00,44.59
2011-04-26 08:53:00,44.34
2011-04-26 08:53:00,44.05
2011-06-09 09:17:00,56.65
2011-06-09 09:17:00,56.66
2011-06-16 08:05:00,50.03
2011-06-16 08:05:00,50.75
2011-06-23 09:28:00,51.96
2011-06-23 09:28:00,51.13
2011-06-27 09:01:00,54.6
2011-06-27 09:01:00,54.03
2011-07-04 09:00:00,54.13
2011-07-04 09:00:00,54.6
2011-07-22 08:17:00,54.77
2011-07-22 08:17:00,55.32
2011-08-25 09:00:00,63.39
2011-08-25 09:00:00,64.24
2011-09-03 09:01:00,58.85
2011-09-03 09:01:00,59.81
2011-09-15 08:30:00,66.91
2011-09-15 08:30:00,66.69
2011-09-19 09:10:00,63.0
2011-09-19 09:10:00,62.82
2011-09-26 09:47:00,69.63
2011-10-20 08:31:00,64.61
2011-10-20 08:31:00,64.36
2011-10-24 09:00:00,62.0
2011-10-24 09:00:00,62.34
2011-10-31 09:13:00,63.3
2011-10-31 09:13:00,62.58
2011-11-10 10:37:00,58.03
2011-11-10 10:37:00,58.14
2011-11-21 12:01:00,55.31
2011-11-21 12:01:00,55.05
2011-11-28 10:11:00,56.83
2011-11-28 10:11:00,57.39
2011-12-08 10:45:00,50.05
2011-12-08 10:45:00,50.28
2011-12-15 10:03:00,50.62
2011-12-15 10:03:00,50.08
2011-12-29 06:45:00,49.74
2011-12-29 06:45:00,49.33
2012-01-23 10:31:00,45.32
2012-01-23 10:31:00,44.99
2012-02-02 10:00:00,44.12
2012-02-02 10:00:00,44.32
2012-02-20 11:50:00,42.28
2012-02-20 11:50:00,41.71
2012-03-01 11:27:00,42.67
2012-03-01 11:27:00,42.26
2012-03-05 09:51:00,42.98
2012-03-05 09:51:00,42.01
2012-03-27 11:17:00,44.25
2012-03-27 11:17:00,45.11
2012-04-19 15:02:00,49.57
2012-04-19 15:02:00,50.53
2012-04-23 10:35:00,46.2
2012-04-23 10:35:00,47.67
2012-05-14 10:15:00,48.44
2012-05-14 10:15:00,49.52
2012-06-07 10:50:00,57.64
2012-06-07 10:50:00,57.22
2012-06-25 09:29:00,57.66
2012-06-25 09:29:00,57.75
2012-07-09 09:42:00,63.97
2012-07-09 09:42:00,63.71
2012-07-17 10:47:00,59.07
2012-07-17 10:47:00,59.96
2012-07-26 09:03:00,66.94
2012-07-26 09:03:00,65.82
2012-07-31 08:00:00,57.87
2012-07-31 08:00:00,57.88
2012-08-06 08:48:00,58.45
2012-08-06 08:48:00,58.24
2012-08-16 09:55:00,57.6
2012-08-16 09:55:00,58.7
2012-09-13 09:50:00,69.51
2012-09-13 09:50:00,69.84
2012-09-20 11:15:00,66.23
2012-09-20 11:15:00,66.42
2012-09-29 09:30:00,63.66
2012-09-29 09:30:00,63.62
2012-10-01 09:29:00,72.14
2012-10-01 09:29:00,72.01
2012-10-08 09:28:00,62.61
2012-10-08 09:28:00,63.0
2012-10-15 09:15:00,62.15
2012-10-15 09:15:00,62.22
2012-11-01 10:35:00,66.54
2012-11-01 10:35:00,65.68
2012-11-05 09:15:00,66.2
2012-11-05 09:15:00,66.87
2012-11-19 09:45:00,60.54
2012-11-19 09:45:00,60.24
2012-11-29 09:15:00,58.41
2012-11-29 09:15:00,56.17
2012-12-20 06:40:00,52.15
2012-12-20 06:40:00,52.53
2013-01-31 10:02:00,45.69
2013-01-31 10:02:00,45.08
2013-02-14 09:00:00,41.61
2013-02-14 09:00:00,41.66
2013-02-28 08:40:00,40.11
2013-02-28 08:40:00,40.4
2013-03-07 08:50:00,41.24
2013-03-07 08:50:00,41.99
2013-03-13 09:40:00,45.63
2013-03-13 09:40:00,45.12
2013-03-18 10:48:00,47.4
