Datetime,Value,Flag
2015-01-01 01:00:00.028800,34.12,0.0
2015-01-01 01:59:59.971200,33.32,0.0
2015-01-01 03:00:00.000000,32.52,0.0
2015-01-01 04:00:00.028800,33.32,0.0
2015-01-01 04:59:59.971200,34.12,0.0
2015-01-01 06:00:00.000000,35.52,0.0
2015-01-01 07:59:59.971200,29.33,0.0
2015-01-01 09:00:00.000000,34.12,0.0
2015-01-01 16:59:59.971200,32.13,0.0
2015-01-01 18:00:00.000000,34.92,0.0
2015-01-02 13:00:00.028800,35.72,0.0
2015-01-02 16:59:59.971200,33.52,0.0
2015-01-02 18:00:00.000000,35.92,0.0
2015-01-02 21:00:00.000000,31.73,0.0
2015-01-02 22:00:00.028800,35.12,0.0
2015-01-02 22:59:59.971200,35.92,0.0
2015-01-03 00:00:00.000000,35.52,0.0
2015-01-03 01:00:00.028800,34.92,0.0
2015-01-03 01:59:59.971200,33.72,0.0
2015-01-03 03:00:00.000000,34.12,0.0
2015-01-03 04:00:00.028800,35.12,0.0
2015-01-03 04:59:59.971200,35.12,0.0
2015-01-03 06:00:00.000000,33.12,0.0
2015-01-03 07:00:00.028800,34.32,0.0
2015-01-03 07:59:59.971200,33.92,0.0
2015-01-03 09:00:00.000000,32.52,0.0
2015-01-03 10:00:00.028800,33.92,0.0
2015-01-03 10:59:59.971200,35.32,0.0
2015-01-03 12:00:00.000000,34.52,0.0
2015-01-03 13:00:00.028800,34.72,0.0
2015-01-03 13:59:59.971200,33.12,0.0
2015-01-03 15:00:00.000000,31.13,0.0
2015-01-03 22:59:59.971200,30.53,0.0
2015-01-04 00:00:00.000000,34.52,0.0
2015-01-04 01:00:00.028800,35.92,0.0
2015-01-04 01:59:59.971200,32.72,0.0
2015-01-04 03:00:00.000000,32.52,0.0
2015-01-04 04:00:00.028800,30.93,0.0
2015-01-04 06:00:00.000000,29.53,0.0
2015-01-04 07:00:00.028800,32.13,0.0
2015-01-04 07:59:59.971200,30.93,0.0
2015-01-04 10:00:00.028800,31.13,0.0
2015-01-04 10:59:59.971200,33.92,0.0
2015-01-04 12:00:00.000000,36.32,0.0
2015-01-04 13:00:00.028800,36.71,0.0
2015-01-04 13:59:59.971200,33.72,0.0
2015-01-04 15:00:00.000000,33.72,0.0
