Datetime,Value,Flag
2006-01-01 03:00:00.000000,47.7,0.0
2006-01-01 04:00:00.028800,48.5,0.0
2006-01-01 04:59:59.971200,49.5,0.0
2006-01-01 06:00:00.000000,50.0,0.0
2006-01-01 07:00:00.028800,50.2,0.0
2006-01-01 07:59:59.971200,50.4,0.0
2006-01-01 09:00:00.000000,50.3,0.0
2006-01-01 10:00:00.028800,49.0,0.0
2006-01-01 10:59:59.971200,48.9,0.0
2006-01-01 12:00:00.000000,48.4,0.0
2006-01-01 13:00:00.028800,48.0,0.0
2006-01-01 13:59:59.971200,47.8,0.0
2006-01-01 15:00:00.000000,47.3,0.0
2006-01-01 16:00:00.028800,47.2,0.0
2006-01-01 16:59:59.971200,46.5,0.0
2006-01-01 18:00:00.000000,45.8,0.0
2006-01-01 19:00:00.028800,45.7,0.0
2006-01-01 19:59:59.971200,45.9,0.0
2006-01-01 21:00:00.000000,46.4,0.0
2006-01-01 22:00:00.028800,47.5,0.0
2006-01-01 22:59:59.971200,48.4,0.0
2006-01-02 00:00:00.000000,48.2,0.0
2006-01-02 01:00:00.028800,48.4,0.0
2006-01-02 01:59:59.971200,48.3,0.0
2006-01-02 03:00:00.000000,48.4,0.0
2006-01-02 04:00:00.028800,48.2,0.0
2006-01-02 04:59:59.971200,48.2,0.0
2006-01-02 06:00:00.000000,47.8,0.0
2006-01-02 07:00:00.028800,47.5,0.0
2006-01-02 07:59:59.971200,46.4,0.0
2006-01-02 09:00:00.000000,45.3,0.0
2006-01-02 10:00:00.028800,45.2,0.0
2006-01-02 10:59:59.971200,44.7,0.0
2006-01-02 12:00:00.000000,43.9,0.0
2006-01-02 13:00:00.028800,43.2,0.0
2006-01-02 13:59:59.971200,43.9,0.0
2006-01-02 15:00:00.000000,44.2,0.0
2006-01-02 16:00:00.028800,45.1,0.0
2006-01-02 16:59:59.971200,46.3,0.0
2006-01-02 18:00:00.000000,46.7,0.0
2006-01-02 19:00:00.028800,48.0,0.0
2006-01-02 19:59:59.971200,46.0,0.0
2006-01-02 21:00:00.000000,43.0,0.0
2006-01-02 22:00:00.028800,47.0,0.0
2006-01-02 22:59:59.971200,43.7,0.0
2006-01-03 00:00:00.000000,41.5,0.0
2006-01-03 01:00:00.028800,37.4,0.0
2006-01-03 01:59:59.971200,36.0,0.0
2006-01-03 03:00:00.000000,38.9,0.0
2006-01-03 04:00:00.028800,43.6,0.0
2006-01-03 04:59:59.971200,42.0,0.0
2006-01-03 06:00:00.000000,41.2,0.0
2006-01-03 07:00:00.028800,46.2,0.0
2006-01-03 07:59:59.971200,46.6,0.0
2006-01-03 09:00:00.000000,47.0,0.0
2006-01-03 10:00:00.028800,46.9,0.0
2006-01-03 10:59:59.971200,46.2,0.0
2006-01-03 12:00:00.000000,44.9,0.0
2006-01-03 13:00:00.028800,44.5,0.0
2006-01-03 13:59:59.971200,44.4,0.0
2006-01-03 15:00:00.000000,43.8,0.0
2006-01-03 16:00:00.028800,44.4,0.0
2006-01-03 16:59:59.971200,44.5,0.0
2006-01-03 18:00:00.000000,44.7,0.0
2006-01-03 19:00:00.028800,40.9,0.0
2006-01-03 19:59:59.971200,37.4,0.0
2006-01-03 21:00:00.000000,36.0,0.0
2006-01-03 22:00:00.028800,35.0,0.0
2006-01-03 22:59:59.971200,34.5,0.0
2006-01-04 00:00:00.000000,33.0,0.0
2006-01-04 01:00:00.028800,33.2,0.0
2006-01-04 01:59:59.971200,31.7,0.0
2006-01-04 03:00:00.000000,30.7,0.0
2006-01-04 04:00:00.028800,29.4,0.0
2006-01-04 04:59:59.971200,28.9,0.0
2006-01-04 06:00:00.000000,29.4,0.0
2006-01-04 07:00:00.028800,29.8,0.0
2006-01-04 07:59:59.971200,40.3,0.0
2006-01-04 09:00:00.000000,51.5,0.0
2006-01-04 10:00:00.028800,47.0,0.0
2006-01-04 10:59:59.971200,50.9,0.0
2006-01-04 12:00:00.000000,51.7,0.0
2006-01-04 13:00:00.028800,50.9,0.0
2006-01-04 13:59:59.971200,49.9,0.0
2006-01-04 15:00:00.000000,46.9,0.0
2006-01-04 16:00:00.028800,44.5,0.0
2006-01-04 16:59:59.971200,43.9,0.0
2006-01-04 18:00:00.000000,44.0,0.0
2006-01-04 19:00:00.028800,43.9,0.0
2006-01-04 19:59:59.971200,44.5,0.0
2006-01-04 21:00:00.000000,45.6,0.0
2006-01-04 22:00:00.028800,45.6,0.0
2006-01-04 22:59:59.971200,44.9,0.0
2006-01-05 00:00:00.000000,44.9,0.0
2006-01-05 01:00:00.028800,44.3,0.0
2006-01-05 01:59:59.971200,43.4,0.0
2006-01-05 03:00:00.000000,43.9,0.0
2006-01-05 04:00:00.028800,44.7,0.0
2006-01-05 04:59:59.971200,44.9,0.0
2006-01-05 06:00:00.000000,45.2,0.0
2006-01-05 07:00:00.028800,46.0,0.0
2006-01-05 07:59:59.971200,45.8,0.0
2006-01-05 09:00:00.000000,45.0,0.0
2006-01-05 10:00:00.028800,44.7,0.0
2006-01-05 10:59:59.971200,44.6,0.0
2006-01-05 12:00:00.000000,44.4,0.0
2006-01-05 13:00:00.028800,44.1,0.0
2006-01-05 13:59:59.971200,43.9,0.0
2006-01-05 15:00:00.000000,43.7,0.0
2006-01-05 16:00:00.028800,43.6,0.0
2006-01-05 16:59:59.971200,43.6,0.0
2006-01-05 18:00:00.000000,43.4,0.0
2006-01-05 19:00:00.028800,43.4,0.0
2006-01-05 19:59:59.971200,43.2,0.0
2006-01-05 21:00:00.000000,43.3,0.0
2006-01-05 22:00:00.028800,43.5,0.0
2006-01-05 22:59:59.971200,43.6,0.0
2006-01-06 00:00:00.000000,43.9,0.0
2006-01-06 01:00:00.028800,43.6,0.0
2006-01-06 01:59:59.971200,43.6,0.0
2006-01-06 03:00:00.000000,42.9,0.0
2006-01-06 04:00:00.028800,43.9,0.0
2006-01-06 04:59:59.971200,43.5,0.0
2006-01-06 06:00:00.000000,43.3,0.0
2006-01-06 07:00:00.028800,43.2,0.0
2006-01-06 07:59:59.971200,42.6,0.0
2006-01-06 09:00:00.000000,43.1,0.0
2006-01-06 10:00:00.028800,43.0,0.0
2006-01-06 10:59:59.971200,42.4,0.0
2006-01-06 12:00:00.000000,41.6,0.0
2006-01-06 13:00:00.028800,43.5,0.0
2006-01-06 13:59:59.971200,44.8,0.0
2006-01-06 15:00:00.000000,45.3,0.0
2006-01-06 16:00:00.028800,45.2,0.0
2006-01-06 16:59:59.971200,46.1,0.0
2006-01-06 18:00:00.000000,45.6,0.0
2006-01-06 19:00:00.028800,45.3,0.0
2006-01-06 19:59:59.971200,45.4,0.0
2006-01-06 21:00:00.000000,45.7,0.0
2006-01-06 22:00:00.028800,46.2,0.0
2006-01-06 22:59:59.971200,46.5,0.0
2006-01-07 00:00:00.000000,46.0,0.0
2006-01-07 01:00:00.028800,44.3,0.0
2006-01-07 01:59:59.971200,44.3,0.0
2006-01-07 03:00:00.000000,43.7,0.0
2006-01-07 04:00:00.028800,42.7,0.0
2006-01-07 04:59:59.971200,42.0,0.0
2006-01-07 06:00:00.000000,41.7,0.0
2006-01-07 07:00:00.028800,42.1,0.0
2006-01-07 07:59:59.971200,42.6,0.0
2006-01-07 09:00:00.000000,40.5,0.0
2006-01-07 10:00:00.028800,40.2,0.0
2006-01-07 10:59:59.971200,40.3,0.0
2006-01-07 12:00:00.000000,38.1,0.0
2006-01-07 13:00:00.028800,38.2,0.0
2006-01-07 13:59:59.971200,39.0,0.0
2006-01-07 15:00:00.000000,39.4,0.0
2006-01-07 16:00:00.028800,39.0,0.0
2006-01-07 16:59:59.971200,40.7,0.0
2006-01-07 18:00:00.000000,47.7,0.0
2006-01-07 19:00:00.028800,47.0,0.0
2006-01-07 19:59:59.971200,48.1,0.0
2006-01-07 21:00:00.000000,48.2,0.0
2006-01-07 22:00:00.028800,46.4,0.0
2006-01-07 22:59:59.971200,47.5,0.0
2006-01-08 00:00:00.000000,47.9,0.0
2006-01-08 01:00:00.028800,48.1,0.0
2006-01-08 01:59:59.971200,46.2,0.0
2006-01-08 03:00:00.000000,45.7,0.0
2006-01-08 04:00:00.028800,45.1,0.0
2006-01-08 04:59:59.971200,44.3,0.0
2006-01-08 06:00:00.000000,44.1,0.0
2006-01-08 07:00:00.028800,42.2,0.0
2006-01-08 07:59:59.971200,41.4,0.0
2006-01-08 09:00:00.000000,42.3,0.0
2006-01-08 10:00:00.028800,42.7,0.0
2006-01-08 10:59:59.971200,42.8,0.0
2006-01-08 12:00:00.000000,43.1,0.0
2006-01-08 13:00:00.028800,43.0,0.0
2006-01-08 13:59:59.971200,41.5,0.0
2006-01-08 15:00:00.000000,41.2,0.0
2006-01-08 16:00:00.028800,39.9,0.0
2006-01-08 16:59:59.971200,41.3,0.0
2006-01-08 18:00:00.000000,42.5,0.0
2006-01-08 19:00:00.028800,42.7,0.0
2006-01-08 19:59:59.971200,42.2,0.0
2006-01-08 21:00:00.000000,41.7,0.0
2006-01-08 22:00:00.028800,39.5,0.0
2006-01-08 22:59:59.971200,40.2,0.0
2006-01-09 00:00:00.000000,43.0,0.0
2006-01-09 01:00:00.028800,45.7,0.0
2006-01-09 01:59:59.971200,45.8,0.0
2006-01-09 03:00:00.000000,46.9,0.0
2006-01-09 04:00:00.028800,46.9,0.0
2006-01-09 04:59:59.971200,47.1,0.0
2006-01-09 06:00:00.000000,47.2,0.0
2006-01-09 07:00:00.028800,46.9,0.0
2006-01-09 07:59:59.971200,46.0,0.0
2006-01-09 09:00:00.000000,46.3,0.0
2006-01-09 10:00:00.028800,45.3,0.0
2006-01-09 10:59:59.971200,44.7,0.0
2006-01-09 12:00:00.000000,43.6,0.0
2006-01-09 13:00:00.028800,33.3,0.0
2006-01-09 13:59:59.971200,35.1,0.0
2006-01-09 15:00:00.000000,42.2,0.0
2006-01-09 16:00:00.028800,43.4,0.0
2006-01-09 16:59:59.971200,43.9,0.0
2006-01-09 18:00:00.000000,43.5,0.0
2006-01-09 19:00:00.028800,42.7,0.0
2006-01-09 19:59:59.971200,42.9,0.0
2006-01-09 21:00:00.000000,40.2,0.0
2006-01-09 22:00:00.028800,37.6,0.0
2006-01-09 22:59:59.971200,44.4,0.0
2006-01-10 00:00:00.000000,45.5,0.0
2006-01-10 01:00:00.028800,45.7,0.0
2006-01-10 01:59:59.971200,45.9,0.0
2006-01-10 03:00:00.000000,45.8,0.0
2006-01-10 04:00:00.028800,45.9,0.0
2006-01-10 04:59:59.971200,46.0,0.0
2006-01-10 06:00:00.000000,46.2,0.0
2006-01-10 07:00:00.028800,46.5,0.0
2006-01-10 07:59:59.971200,47.0,0.0
2006-01-10 09:00:00.000000,47.1,0.0
2006-01-10 10:00:00.028800,47.2,0.0
2006-01-10 10:59:59.971200,47.3,0.0
2006-01-10 12:00:00.000000,45.3,0.0
2006-01-10 13:00:00.028800,40.0,0.0
2006-01-10 13:59:59.971200,38.8,0.0
2006-01-10 15:00:00.000000,42.9,0.0
2006-01-10 16:00:00.028800,43.0,0.0
2006-01-10 16:59:59.971200,42.1,0.0
2006-01-10 18:00:00.000000,42.8,0.0
2006-01-10 19:00:00.028800,45.6,0.0
2006-01-10 19:59:59.971200,45.9,0.0
2006-01-10 21:00:00.000000,43.8,0.0
2006-01-10 22:00:00.028800,39.7,0.0
2006-01-10 22:59:59.971200,38.6,0.0
2006-01-11 00:00:00.000000,32.6,0.0
2006-01-11 01:00:00.028800,25.3,0.0
2006-01-11 01:59:59.971200,41.0,0.0
2006-01-11 03:00:00.000000,42.0,0.0
2006-01-11 04:00:00.028800,39.2,0.0
2006-01-11 04:59:59.971200,40.6,0.0
2006-01-11 06:00:00.000000,44.0,0.0
2006-01-11 07:00:00.028800,44.5,0.0
2006-01-11 07:59:59.971200,45.3,0.0
2006-01-11 09:00:00.000000,46.1,0.0
2006-01-11 10:00:00.028800,46.1,0.0
2006-01-11 10:59:59.971200,45.8,0.0
2006-01-11 12:00:00.000000,44.6,0.0
2006-01-11 13:00:00.028800,42.6,0.0
2006-01-11 13:59:59.971200,43.9,0.0
2006-01-11 15:00:00.000000,43.6,0.0
2006-01-11 16:00:00.028800,44.6,0.0
2006-01-11 16:59:59.971200,44.2,0.0
2006-01-11 18:00:00.000000,43.5,0.0
2006-01-11 19:00:00.028800,43.3,0.0
2006-01-11 19:59:59.971200,43.4,0.0
2006-01-11 21:00:00.000000,44.6,0.0
2006-01-11 22:00:00.028800,44.3,0.0
2006-01-11 22:59:59.971200,44.5,0.0
2006-01-12 00:00:00.000000,45.1,0.0
2006-01-12 01:00:00.028800,45.0,0.0
2006-01-12 01:59:59.971200,45.3,0.0
2006-01-12 03:00:00.000000,46.0,0.0
2006-01-12 04:00:00.028800,46.4,0.0
2006-01-12 04:59:59.971200,48.2,0.0
