,Value
1989-03-24 22:49:00,58.32
1989-03-24 22:49:00,59.64
1989-04-02 03:50:00,68.26
1989-04-02 03:50:00,71.76
1989-04-07 01:43:00,70.07
1989-04-18 00:45:00,62.91
1989-04-18 00:45:00,65.75
1989-05-03 00:29:00,65.9
1989-05-03 00:29:00,66.69
1989-05-25 21:13:00,69.41
1989-05-25 21:13:00,69.75
1989-06-02 03:55:00,56.85
1989-06-02 03:55:00,59.11
1989-06-08 23:22:00,52.53
1989-06-08 23:22:00,54.52
1989-06-22 22:51:00,55.53
1989-06-22 22:51:00,56.26
1989-06-22 22:51:00,57.11
1989-06-29 01:03:00,51.14
1989-06-29 01:03:00,51.52
1989-06-29 01:03:00,51.79
1989-06-29 01:12:00,63.25
1989-06-29 01:12:00,65.48
1989-06-29 01:12:00,65.75
1989-07-07 20:20:00,52.98
1989-07-07 20:20:00,53.22
1989-07-13 21:56:00,60.11
1989-07-13 21:56:00,63.88
1989-07-13 22:08:00,61.83
1989-07-13 22:08:00,63.08
1989-07-21 01:52:00,57.25
1989-07-21 02:03:00,60.61
1989-07-21 02:03:00,61.75
1989-07-21 02:03:00,63.68
1989-07-28 02:29:00,62.59
1989-07-28 02:40:00,67.33
1989-08-04 02:52:00,65.53
1989-08-04 02:52:00,68.2
1989-08-04 03:01:00,60.58
1989-08-13 02:12:00,63.37
1989-08-13 02:12:00,67.27
1989-08-13 02:22:00,63.04
1989-08-13 02:22:00,65.42
1989-09-01 02:33:00,56.32
1989-09-01 02:33:00,58.69
1989-09-01 02:42:00,60.82
1989-09-01 02:42:00,62.21
1989-09-10 04:04:00,60.52
1989-09-10 04:04:00,62.51
1989-09-10 04:04:00,65.11
1989-09-10 04:10:00,64.69
1989-09-10 04:10:00,65.48
1989-09-15 01:16:00,58.15
1989-09-15 01:16:00,61.69
1989-09-15 01:16:00,62.06
1989-09-15 01:19:00,59.66
1989-09-15 01:19:00,60.09
1989-09-22 02:28:00,66.41
1989-09-22 02:28:00,68.26
1989-09-22 02:28:00,69.1
1989-09-22 02:28:00,59.24
1989-09-22 02:28:00,59.51
1989-09-22 02:28:00,61.21
1989-09-28 23:10:00,69.24
1989-09-28 23:10:00,70.74
1989-09-28 23:10:00,72.24
1989-09-28 23:10:00,72.77
1989-10-07 03:15:00,63.1
1989-10-07 03:15:00,64.91
1989-10-07 03:15:00,66.38
1989-10-07 03:15:00,63.74
1989-10-07 03:15:00,64.96
1989-10-13 03:03:00,66.05
1989-10-13 03:03:00,69.35
1989-10-13 03:03:00,77.51
1989-10-13 03:03:00,79.29
1989-10-19 23:50:00,66.36
1989-10-19 23:50:00,67.66
1989-10-19 23:50:00,62.1
1989-10-19 23:50:00,62.14
1989-10-27 22:19:00,75.44
1989-10-27 22:19:00,76.07
1989-10-27 22:19:00,74.86
1989-11-02 22:55:00,69.17
1989-11-02 22:55:00,69.75
1989-11-02 22:55:00,72.21
1989-11-02 22:55:00,72.31
1989-11-28 00:10:00,66.19
1989-11-28 00:10:00,66.5
1989-11-28 00:10:00,66.77
1989-11-28 00:10:00,66.9
1989-11-28 00:10:00,64.41
1989-11-28 00:10:00,65.19
1989-12-01 23:27:00,67.71
1989-12-01 23:27:00,67.79
1989-12-01 23:27:00,69.04
1989-12-01 23:27:00,69.55
1989-12-10 05:15:00,62.03
1989-12-10 05:15:00,62.58
1989-12-10 05:15:00,62.61
1989-12-15 01:27:00,72.41
1989-12-15 01:27:00,73.31
1989-12-22 03:28:00,56.26
1989-12-22 03:28:00,57.21
1989-12-22 03:28:00,55.94
1989-12-22 03:28:00,57.41
1989-12-22 03:28:00,56.36
1989-12-22 03:28:00,57.54
1989-12-28 23:38:00,54.25
1989-12-28 23:38:00,54.88
1989-12-28 23:38:00,55.07
1989-12-28 23:38:00,55.38
1989-12-28 23:38:00,55.28
1989-12-28 23:38:00,55.77
1990-01-04 22:26:00,61.89
1990-01-04 22:26:00,62.08
1990-01-04 22:26:00,62.27
1990-01-04 22:26:00,59.71
1990-01-04 22:26:00,60.19
1990-01-04 22:26:00,54.97
1990-01-04 22:26:00,56.11
1990-01-11 23:41:00,67.45
1990-01-11 23:41:00,68.78
1990-01-11 23:41:00,69.06
1990-01-11 23:41:00,63.71
1990-01-11 23:41:00,66.28
1990-01-11 23:41:00,63.07
1990-01-11 23:41:00,63.27
1990-01-19 01:24:00,50.94
1990-01-19 01:24:00,51.1
1990-01-19 01:24:00,52.51
1990-01-19 01:24:00,53.69
1990-01-19 01:24:00,54.31
1990-01-19 01:24:00,54.5
1990-01-19 01:24:00,54.27
1990-01-19 01:24:00,55.1
1990-01-27 02:17:00,54.04
1990-01-27 02:17:00,55.05
1990-01-27 02:17:00,52.35
1990-01-27 02:17:00,53.05
1990-02-02 01:14:00,70.61
1990-02-02 01:14:00,71.3
1990-02-02 01:14:00,70.85
1990-02-02 01:14:00,71.29
1990-02-18 00:05:00,55.15
