These data are made available to the scientific community and public with the understanding that authors of publications 
and presentations will contact the PI to obtain up-to-date information on the latest version of the data during the early stages of their analysis. 
Manuscripts that employ these data should be reviewed by the PI before submission to ensure the quality and limitations of the data are represented.  

Data Disclaimer: Data has undergone extensive quality checks and is available from NOAA-GMD and WDCGG. 
However, there still exists the potential for these data to be modified at the discretion of NOAA/ESRL Global Monitoring Division. 

If you have questions regarding the data in this file, please contact:
Audra McClure-Begley: Audra.mcclure@noaa.gov (303-497-6823)

Please use the following citation for data use: 
McClure-Begley, A., Petropavlovskikh, I., Oltmans, S., (2014) NOAA Global Monitoring Surface Ozone Network.
 Station name, Time start-Time end. National Oceanic and Atmospheric Administration, Earth Systems Research Laboratory Global Monitoring Division. 
 Boulder, CO. DATE ACCESSED http://dx.doi.org/10.7289/V57P8WBF

 YEAR  MON  DAY  HR  O3(PPB)
BMW 2017   01  01  00     44.23
BMW 2017   01  01  01     39.83
BMW 2017   01  01  02     40.99
BMW 2017   01  01  03     43.28
BMW 2017   01  01  04     43.70
BMW 2017   01  01  05     43.16
BMW 2017   01  01  06     43.50
BMW 2017   01  01  07     43.76
BMW 2017   01  01  08     43.68
BMW 2017   01  01  09     43.77
BMW 2017   01  01  10     43.19
BMW 2017   01  01  11     43.27
BMW 2017   01  01  12     43.47
BMW 2017   01  01  13     42.34
BMW 2017   01  01  14     42.02
BMW 2017   01  01  15     42.44
BMW 2017   01  01  16     42.85
BMW 2017   01  01  17     43.05
BMW 2017   01  01  18     43.80
BMW 2017   01  01  19     43.88
BMW 2017   01  01  20     43.89
BMW 2017   01  01  21     44.10
BMW 2017   01  01  22     44.35
BMW 2017   01  01  23     44.45
BMW 2017   01  02  00     44.63
BMW 2017   01  02  01     44.52
BMW 2017   01  02  02     44.37
BMW 2017   01  02  03     44.18
BMW 2017   01  02  04     44.11
BMW 2017   01  02  05     43.92
BMW 2017   01  02  06     43.63
BMW 2017   01  02  07     43.27
BMW 2017   01  02  08     42.76
BMW 2017   01  02  09     42.47
BMW 2017   01  02  10     42.54
BMW 2017   01  02  11     42.98
BMW 2017   01  02  12     42.48
BMW 2017   01  02  13     41.92
BMW 2017   01  02  14     41.86
BMW 2017   01  02  15     41.50
BMW 2017   01  02  16     41.51
BMW 2017   01  02  17     41.67
BMW 2017   01  02  18     41.45
BMW 2017   01  02  19     41.02
BMW 2017   01  02  20     41.02
BMW 2017   01  02  21     41.68
BMW 2017   01  02  22     41.46
BMW 2017   01  02  23     41.37
BMW 2017   01  03  00     41.84
BMW 2017   01  03  01     40.67
