These data are made available to the scientific community and public with the understanding that authors of publications 
and presentations will contact the PI to obtain up-to-date information on the latest version of the data during the early stages of their analysis. 
Manuscripts that employ these data should be reviewed by the PI before submission to ensure the quality and limitations of the data are represented.  

Data Disclaimer: Data has undergone extensive quality checks and is available from NOAA-GMD and WDCGG. 
However, there still exists the potential for these data to be modified at the discretion of NOAA/ESRL Global Monitoring Division. 

If you have questions regarding the data in this file, please contact:
Audra McClure-Begley: Audra.mcclure@noaa.gov (303-497-6823)

Please use the following citation for data use: 
McClure-Begley, A., Petropavlovskikh, I., Oltmans, S., (2014) NOAA Global Monitoring Surface Ozone Network.
 Station name, Time start-Time end. National Oceanic and Atmospheric Administration, Earth Systems Research Laboratory Global Monitoring Division. 
 Boulder, CO. DATE ACCESSED http://dx.doi.org/10.7289/V57P8WBF

STN YEAR  MON  DAY  HR  O3(PPB)
BMW 2018   04  01  00     33.79
BMW 2018   04  01  01     32.26
BMW 2018   04  01  02     32.59
BMW 2018   04  01  03     33.18
BMW 2018   04  01  04     33.54
BMW 2018   04  01  05     33.92
BMW 2018   04  01  06     33.11
BMW 2018   04  01  07     32.81
BMW 2018   04  01  08     30.77
BMW 2018   04  01  09     29.91
BMW 2018   04  01  10     31.40
BMW 2018   04  01  11     29.81
BMW 2018   04  01  12     30.31
BMW 2018   04  01  13     35.76
BMW 2018   04  01  14     34.40
BMW 2018   04  01  15   9999.99
BMW 2018   04  01  16   9999.99
BMW 2018   04  01  17   9999.99
BMW 2018   04  01  18   9999.99
BMW 2018   04  01  19     31.26
BMW 2018   04  01  20     30.08
BMW 2018   04  01  21     30.65
BMW 2018   04  01  22     30.39
BMW 2018   04  01  23     32.27
BMW 2018   04  02  00     33.33
BMW 2018   04  02  01     32.68
BMW 2018   04  02  02     30.83
BMW 2018   04  02  03     33.32
BMW 2018   04  02  04     34.07
BMW 2018   04  02  05     35.84
BMW 2018   04  02  06     36.72
BMW 2018   04  02  07     37.98
BMW 2018   04  02  08     37.96
BMW 2018   04  02  09     36.54
BMW 2018   04  02  10     33.92
BMW 2018   04  02  11     33.37
BMW 2018   04  02  12     29.15
BMW 2018   04  02  13     36.30
BMW 2018   04  02  14     36.83
BMW 2018   04  02  15   9999.99
BMW 2018   04  02  16     37.09
BMW 2018   04  02  17     37.45
BMW 2018   04  02  18     37.23
BMW 2018   04  02  19     37.22
BMW 2018   04  02  20     37.47
BMW 2018   04  02  21     38.95
BMW 2018   04  02  22     36.91
BMW 2018   04  02  23     36.12
BMW 2018   04  03  00     37.18
BMW 2018   04  03  01     37.46
BMW 2018   04  03  02     36.67
BMW 2018   04  03  03     36.45
BMW 2018   04  03  04     37.09
BMW 2018   04  03  05     36.02
BMW 2018   04  03  06     36.37
BMW 2018   04  03  07     36.22
BMW 2018   04  03  08     35.83
BMW 2018   04  03  09     36.10
BMW 2018   04  03  10     35.66
BMW 2018   04  03  11     34.89
BMW 2018   04  03  12     35.26
BMW 2018   04  03  13     33.78
BMW 2018   04  03  14     33.46
BMW 2018   04  03  15     33.77
BMW 2018   04  03  16     33.25
BMW 2018   04  03  17     32.17
BMW 2018   04  03  18     31.01
BMW 2018   04  03  19     30.02
BMW 2018   04  03  20     29.04
BMW 2018   04  03  21     28.93
BMW 2018   04  03  22     27.08
BMW 2018   04  03  23     25.76
BMW 2018   04  04  00     24.42
BMW 2018   04  04  01     24.95
BMW 2018   04  04  02     23.95
BMW 2018   04  04  03     24.74
BMW 2018   04  04  04     24.42
BMW 2018   04  04  05     25.11
BMW 2018   04  04  06     26.85
BMW 2018   04  04  07     29.09
BMW 2018   04  04  08     29.12
BMW 2018   04  04  09     28.71
BMW 2018   04  04  10     29.12
BMW 2018   04  04  11     28.95
BMW 2018   04  04  12     29.68
BMW 2018   04  04  13     29.91
BMW 2018   04  04  14     29.56
BMW 2018   04  04  15     29.16
BMW 2018   04  04  16     32.99
BMW 2018   04  04  17     28.72
BMW 2018   04  04  18     28.45
BMW 2018   04  04  19     28.03
BMW 2018   04  04  20     27.92
BMW 2018   04  04  21     28.09
BMW 2018   04  04  22     28.80
BMW 2018   04  04  23     29.67
BMW 2018   04  05  00     29.33
BMW 2018   04  05  01     28.46
BMW 2018   04  05  02     27.28
BMW 2018   04  05  03     26.68
BMW 2018   04  05  04     25.11
BMW 2018   04  05  05     24.05
BMW 2018   04  05  06     23.43
BMW 2018   04  05  07     22.58
BMW 2018   04  05  08     22.01
BMW 2018   04  05  09     21.69
BMW 2018   04  05  10     21.60
BMW 2018   04  05  11     21.42
BMW 2018   04  05  12     21.40
BMW 2018   04  05  13     21.74
BMW 2018   04  05  14     22.53
BMW 2018   04  05  15     22.77
BMW 2018   04  05  16     22.70
BMW 2018   04  05  17     22.89
BMW 2018   04  05  18     32.88
BMW 2018   04  05  19     32.85
BMW 2018   04  05  20     30.39
BMW 2018   04  05  21     28.20
BMW 2018   04  05  22     26.54
BMW 2018   04  05  23     32.12
BMW 2018   04  06  00     43.80
BMW 2018   04  06  01     45.33
BMW 2018   04  06  02     47.42
BMW 2018   04  06  03     48.50
BMW 2018   04  06  04     50.01
BMW 2018   04  06  05     50.54
BMW 2018   04  06  06     51.24
BMW 2018   04  06  07     51.72
BMW 2018   04  06  08     52.23
BMW 2018   04  06  09     53.19
BMW 2018   04  06  10     54.08
BMW 2018   04  06  11     53.59
BMW 2018   04  06  12     53.03
BMW 2018   04  06  13     53.83
BMW 2018   04  06  14     54.33
BMW 2018   04  06  15     53.82
BMW 2018   04  06  16     53.84
BMW 2018   04  06  17     53.60
BMW 2018   04  06  18     50.81
BMW 2018   04  06  19     53.62
BMW 2018   04  06  20     53.33
BMW 2018   04  06  21     52.74
BMW 2018   04  06  22     54.79
BMW 2018   04  06  23     55.45
BMW 2018   04  07  00     54.79
BMW 2018   04  07  01     54.90
BMW 2018   04  07  02     54.32
BMW 2018   04  07  03     54.07
BMW 2018   04  07  04     54.18
BMW 2018   04  07  05     54.66
BMW 2018   04  07  06     52.90
BMW 2018   04  07  07     50.63
BMW 2018   04  07  08     49.35
BMW 2018   04  07  09     47.66
BMW 2018   04  07  10     46.54
BMW 2018   04  07  11     45.40
