These   data   are   made   available   to   the   scientific   community   and   public   with   the   understanding   that   authors   of   publications   
and   presentations   will   contact   the   PI   to   obtain   up-to-date   information   on   the   latest   version   of   the   data   during   the   early   stages   of   their   analysis.   
Manuscripts   that   employ   these   data   should   be   reviewed   by   the   PI   before   submission   to   ensure   the   quality   and   limitations   of   the   data   are   represented.   

Data   Disclaimer:   Data   has   undergone   extensive   quality   checks   and   is   available   from   NOAA-GMD   and   WDCGG.   
However,   there   still   exists   the   potential   for   these   data   to   be   modified   at   the   discretion   of   NOAA/ESRL   Global   Monitoring   Division.   

If   you   have   questions   regarding   the   data   in   this   file,   please   contact:
Audra   McClure-Begley:   Audra.mcclure@noaa.gov   (303-497-6823)

Please   use   the   following   citation   for   data   use:   
McClure-Begley,   A.,   Petropavlovskikh,   I.,   Oltmans,   S.,   (2014)   NOAA   Global   Monitoring   Surface   Ozone   Network.
   Station   name,   Time   start-Time   end.   National   Oceanic   and   Atmospheric   Administration,   Earth   Systems   Research   Laboratory   Global   Monitoring   Division.   
   Boulder,   CO.   DATE   ACCESSED   http://dx.doi.org/10.7289/V57P8WBF

STN   YEAR   MON   DAY   HR   O3(PPB)
BMW   2019   04   01   00   9999.99
BMW   2019   04   22   00   48.83
BMW   2019   04   22   01   48.54
BMW   2019   04   22   02   48.40
BMW   2019   04   22   03   48.48
BMW   2019   04   22   04   49.12
BMW   2019   04   22   05   49.39
BMW   2019   04   22   06   49.01
BMW   2019   04   22   07   49.73
BMW   2019   04   22   08   50.79
BMW   2019   04   22   09   51.23
BMW   2019   04   22   10   51.58
BMW   2019   04   22   11   49.95
BMW   2019   04   22   12   48.61
BMW   2019   04   22   13   47.77
BMW   2019   04   22   14   46.70
BMW   2019   04   22   15   46.09
BMW   2019   04   22   16   46.25
BMW   2019   04   22   17   45.88
BMW   2019   04   22   18   44.63
BMW   2019   04   22   19   44.84
BMW   2019   04   22   20   44.38
BMW   2019   04   22   21   44.01
BMW   2019   04   22   22   43.02
BMW   2019   04   22   23   43.01
BMW   2019   04   23   00   42.78
BMW   2019   04   23   01   41.75
BMW   2019   04   23   02   42.25
BMW   2019   04   23   03   43.08
BMW   2019   04   23   04   43.47
BMW   2019   04   23   05   41.54
BMW   2019   04   23   06   40.61
BMW   2019   04   23   07   39.71
BMW   2019   04   23   08   39.23
BMW   2019   04   23   09   36.24
BMW   2019   04   23   10   35.00
BMW   2019   04   23   11   32.87
BMW   2019   04   23   12   32.76
BMW   2019   04   23   13   34.88
BMW   2019   04   23   14   34.54
BMW   2019   04   23   15   34.68
BMW   2019   04   23   16   35.31
BMW   2019   04   23   17   33.59
BMW   2019   04   23   18   32.37
BMW   2019   04   23   19   32.94
BMW   2019   04   23   20   33.25
BMW   2019   04   23   21   32.66
BMW   2019   04   23   22   32.97
BMW   2019   04   23   23   33.69
BMW   2019   04   24   00   33.13
BMW   2019   04   24   01   32.47
BMW   2019   04   24   02   32.88
BMW   2019   04   24   03   32.94
BMW   2019   04   24   04   32.77
BMW   2019   04   24   05   32.67
BMW   2019   04   24   06   32.87
BMW   2019   04   24   07   32.37
BMW   2019   04   24   08   31.87
BMW   2019   04   24   09   32.21
BMW   2019   04   24   10   32.89
