These data are made available to the scientific community and public with the understanding that authors of publications 
and presentations will contact the PI to obtain up-to-date information on the latest version of the data during the early stages of their analysis. 
Manuscripts that employ these data should be reviewed by the PI before submission to ensure the quality and limitations of the data are represented.  

Data Disclaimer: Data has undergone extensive quality checks and is available from NOAA-GMD and WDCGG. 
However, there still exists the potential for these data to be modified at the discretion of NOAA/ESRL Global Monitoring Division. 

If you have questions regarding the data in this file, please contact:
Audra McClure-Begley: Audra.mcclure@noaa.gov (303-497-6823)

Please use the following citation for data use: 
McClure-Begley, A., Petropavlovskikh, I., Oltmans, S., (2014) NOAA Global Monitoring Surface Ozone Network.
 Station name, Time start-Time end. National Oceanic and Atmospheric Administration, Earth Systems Research Laboratory Global Monitoring Division. 
 Boulder, CO. DATE ACCESSED http://dx.doi.org/10.7289/V57P8WBF

YEAR  MON  DAY  HR  O3(PPB)
BMW 2017   11  01  00     38.69
BMW 2017   11  01  01     37.98
BMW 2017   11  01  02     38.21
BMW 2017   11  01  03     38.86
BMW 2017   11  01  04     39.10
BMW 2017   11  01  05     39.17
BMW 2017   11  01  06     35.82
BMW 2017   11  01  07     27.30
BMW 2017   11  01  08     31.16
BMW 2017   11  01  09     33.41
BMW 2017   11  01  10     31.87
BMW 2017   11  01  11     26.76
BMW 2017   11  01  12     24.75
BMW 2017   11  01  13     30.70
BMW 2017   11  01  14     29.03
BMW 2017   11  01  15     28.19
BMW 2017   11  01  16     27.33
BMW 2017   11  01  17     27.60
BMW 2017   11  01  18     28.19
BMW 2017   11  01  19     28.34
BMW 2017   11  01  20     28.28
BMW 2017   11  01  21     28.08
BMW 2017   11  01  22     29.12
BMW 2017   11  01  23     29.70
BMW 2017   11  02  00     31.20
BMW 2017   11  02  01     32.07
BMW 2017   11  02  02     33.57
BMW 2017   11  02  03     33.31
BMW 2017   11  02  04     32.92
BMW 2017   11  02  05     33.35
BMW 2017   11  02  06     33.93
BMW 2017   11  02  07     34.98
BMW 2017   11  02  08     35.94
BMW 2017   11  02  09     35.93
BMW 2017   11  02  10     35.98
BMW 2017   11  02  11     32.28
BMW 2017   11  02  12     32.75
BMW 2017   11  02  13     34.29
BMW 2017   11  02  14     35.65
BMW 2017   11  02  15     36.38
BMW 2017   11  02  16     37.59
BMW 2017   11  02  17     37.28
BMW 2017   11  02  18     37.34
BMW 2017   11  02  19     37.17
BMW 2017   11  02  20     37.13
BMW 2017   11  02  21     36.54
BMW 2017   11  02  22     36.55
BMW 2017   11  02  23     37.26
BMW 2017   11  03  00     37.16
BMW 2017   11  03  01     37.24
BMW 2017   11  03  02     36.59
BMW 2017   11  03  03     35.78
BMW 2017   11  03  04     34.46
BMW 2017   11  03  05     35.77
BMW 2017   11  03  06     34.97
BMW 2017   11  03  07     35.54
BMW 2017   11  03  08     35.39
BMW 2017   11  03  09     32.83
BMW 2017   11  03  10     34.75
BMW 2017   11  03  11     31.08
BMW 2017   11  03  12     22.84
BMW 2017   11  03  13     33.62
BMW 2017   11  03  14     36.91
BMW 2017   11  03  15     37.18
BMW 2017   11  03  16     36.71
BMW 2017   11  03  17     36.84
BMW 2017   11  03  18     37.48
BMW 2017   11  03  19     36.31
BMW 2017   11  03  20     35.84
BMW 2017   11  03  21     34.81
BMW 2017   11  03  22     33.61
BMW 2017   11  03  23     36.09
BMW 2017   11  04  00     33.71
BMW 2017   11  04  01     33.52
BMW 2017   11  04  02     33.08
BMW 2017   11  04  03     37.58
BMW 2017   11  04  04     37.54
BMW 2017   11  04  05     36.75
BMW 2017   11  04  06     37.55
BMW 2017   11  04  07     35.38
BMW 2017   11  04  08     37.16
BMW 2017   11  04  09     37.57
BMW 2017   11  04  10     35.52
BMW 2017   11  04  11     35.27
BMW 2017   11  04  12     33.95
BMW 2017   11  04  13     32.41
BMW 2017   11  04  14     33.28
BMW 2017   11  04  15     35.96
BMW 2017   11  04  16     34.49
BMW 2017   11  04  17     33.52
BMW 2017   11  04  18     34.13
BMW 2017   11  04  19     35.51
BMW 2017   11  04  20     35.13
BMW 2017   11  04  21     33.26
BMW 2017   11  04  22     32.53
BMW 2017   11  04  23     33.72
BMW 2017   11  05  00     32.96
BMW 2017   11  05  01     33.60
BMW 2017   11  05  02     28.74
BMW 2017   11  05  03     30.04
BMW 2017   11  05  04     34.08
BMW 2017   11  05  05     33.88
BMW 2017   11  05  06     35.00
BMW 2017   11  05  07     36.15
BMW 2017   11  05  08     34.74
BMW 2017   11  05  09     36.23
BMW 2017   11  05  10     35.01
BMW 2017   11  05  11     34.95
BMW 2017   11  05  12     34.18
BMW 2017   11  05  13     33.82
BMW 2017   11  05  14     33.16
BMW 2017   11  05  15     32.30
BMW 2017   11  05  16     27.55
BMW 2017   11  05  17     29.73
BMW 2017   11  05  18     30.19
BMW 2017   11  05  19     28.41
BMW 2017   11  05  20     27.99
BMW 2017   11  05  21     27.60
BMW 2017   11  05  22     26.32
BMW 2017   11  05  23     27.03
BMW 2017   11  06  00     24.35
BMW 2017   11  06  01     25.63
BMW 2017   11  06  02     26.41
BMW 2017   11  06  03     26.00
BMW 2017   11  06  04     25.10
BMW 2017   11  06  05     27.05
BMW 2017   11  06  06     28.35
BMW 2017   11  06  07     26.26
BMW 2017   11  06  08     27.42
BMW 2017   11  06  09     29.70
BMW 2017   11  06  10     26.23
BMW 2017   11  06  11     30.47
BMW 2017   11  06  12     28.89
BMW 2017   11  06  13     28.15
BMW 2017   11  06  14     28.70
BMW 2017   11  06  15     29.20
BMW 2017   11  06  16     29.12
BMW 2017   11  06  17     29.11
BMW 2017   11  06  18     28.45
BMW 2017   11  06  19     28.37
BMW 2017   11  06  20     28.93
BMW 2017   11  06  21     29.97
BMW 2017   11  06  22     29.75
BMW 2017   11  06  23     31.17
BMW 2017   11  07  00     33.22
BMW 2017   11  07  01     33.04
BMW 2017   11  07  02     33.03
BMW 2017   11  07  03     32.17
BMW 2017   11  07  04     32.42
BMW 2017   11  07  05     30.65
BMW 2017   11  07  06     29.42
BMW 2017   11  07  07     29.61
BMW 2017   11  07  08     30.23
BMW 2017   11  07  09     31.86
BMW 2017   11  07  10     31.00
BMW 2017   11  07  11     30.38
BMW 2017   11  07  12     30.01
BMW 2017   11  07  13     30.60
BMW 2017   11  07  14     30.89
BMW 2017   11  07  15     30.92
BMW 2017   11  07  16     30.08
BMW 2017   11  07  17     29.46
BMW 2017   11  07  18     29.32
BMW 2017   11  07  19     29.57
BMW 2017   11  07  20     29.96
BMW 2017   11  07  21     29.89
BMW 2017   11  07  22     30.12
BMW 2017   11  07  23     29.97
BMW 2017   11  08  00     29.85
BMW 2017   11  08  01     29.47
BMW 2017   11  08  02     29.76
BMW 2017   11  08  03     29.48
BMW 2017   11  08  04     29.49
BMW 2017   11  08  05     29.50
BMW 2017   11  08  06     29.76
BMW 2017   11  08  07     29.87
BMW 2017   11  08  08     30.41
BMW 2017   11  08  09     30.64
BMW 2017   11  08  10     30.49
BMW 2017   11  08  11     30.70
BMW 2017   11  08  12     30.75
BMW 2017   11  08  13     31.20
BMW 2017   11  08  14     31.65
BMW 2017   11  08  15     31.30
BMW 2017   11  08  16     30.59
BMW 2017   11  08  17     30.12
BMW 2017   11  08  18     29.32
BMW 2017   11  08  19     29.09
BMW 2017   11  08  20     28.79
BMW 2017   11  08  21     28.62
BMW 2017   11  08  22     28.62
BMW 2017   11  08  23     28.78
BMW 2017   11  09  00     29.04
BMW 2017   11  09  01     29.52
BMW 2017   11  09  02     31.45
BMW 2017   11  09  03     30.70
BMW 2017   11  09  04     30.06
BMW 2017   11  09  05     29.49
BMW 2017   11  09  06     29.00
BMW 2017   11  09  07     28.65
BMW 2017   11  09  08     28.77
BMW 2017   11  09  09     28.61
BMW 2017   11  09  10     28.91
BMW 2017   11  09  11     29.17
BMW 2017   11  09  12     28.84
BMW 2017   11  09  13     28.56
BMW 2017   11  09  14     28.84
BMW 2017   11  09  15     28.67
BMW 2017   11  09  16     28.01
BMW 2017   11  09  17     27.63
BMW 2017   11  09  18     27.60
BMW 2017   11  09  19     27.38
BMW 2017   11  09  20     27.18
BMW 2017   11  09  21     27.16
BMW 2017   11  09  22     27.88
BMW 2017   11  09  23     28.07
BMW 2017   11  10  00     28.30
BMW 2017   11  10  01     28.25
BMW 2017   11  10  02     28.65
BMW 2017   11  10  03     28.96
BMW 2017   11  10  04     29.21
BMW 2017   11  10  05     29.32
BMW 2017   11  10  06     28.76
BMW 2017   11  10  07     28.48
BMW 2017   11  10  08     28.44
BMW 2017   11  10  09     28.39
BMW 2017   11  10  10     28.04
BMW 2017   11  10  11     27.91
BMW 2017   11  10  12     27.66
BMW 2017   11  10  13     27.42
BMW 2017   11  10  14     27.22
BMW 2017   11  10  15     27.04
BMW 2017   11  10  16     27.11
BMW 2017   11  10  17     25.80
BMW 2017   11  10  18     24.95
BMW 2017   11  10  19     25.67
BMW 2017   11  10  20     26.13
BMW 2017   11  10  21     24.72
BMW 2017   11  10  22     23.71
BMW 2017   11  10  23     22.94
BMW 2017   11  11  00     23.30
BMW 2017   11  11  01     23.23
BMW 2017   11  11  02     23.65
BMW 2017   11  11  03     24.06
BMW 2017   11  11  04     24.95
BMW 2017   11  11  05     25.13
BMW 2017   11  11  06     24.96
BMW 2017   11  11  07     26.49
BMW 2017   11  11  08     27.06
BMW 2017   11  11  09     26.27
BMW 2017   11  11  10     28.98
BMW 2017   11  11  11     32.36
BMW 2017   11  11  12     30.96
BMW 2017   11  11  13     31.65
BMW 2017   11  11  14     32.05
BMW 2017   11  11  15     33.06
BMW 2017   11  11  16     33.73
BMW 2017   11  11  17     34.76
BMW 2017   11  11  18     36.48
BMW 2017   11  11  19     39.28
BMW 2017   11  11  20     41.19
BMW 2017   11  11  21     43.40
BMW 2017   11  11  22     44.64
BMW 2017   11  11  23     44.73
BMW 2017   11  12  00     45.24
BMW 2017   11  12  01     45.42
BMW 2017   11  12  02     45.44
BMW 2017   11  12  03     45.54
BMW 2017   11  12  04     46.10
BMW 2017   11  12  05     46.26
BMW 2017   11  12  06     46.41
BMW 2017   11  12  07     46.60
BMW 2017   11  12  08     46.53
BMW 2017   11  12  09     46.60
BMW 2017   11  12  10     46.59
BMW 2017   11  12  11     46.38
BMW 2017   11  12  12     44.82
BMW 2017   11  12  13     44.15
BMW 2017   11  12  14     43.68
BMW 2017   11  12  15     43.26
BMW 2017   11  12  16     42.11
BMW 2017   11  12  17     41.14
BMW 2017   11  12  18     39.86
