Datetime,Value,Flag
2018-01-24 09:28:00.009600,46.34,0.0
2018-01-24 10:28:00.038400,42.39,0.0
2018-01-24 11:27:59.980800,41.55,0.0
2018-01-24 12:28:00.009600,40.77,0.0
2018-01-24 13:38:00.000000,43.29,0.0
2018-01-24 14:37:59.942400,44.6,0.0
2018-01-24 15:37:59.971200,43.1,0.0
2018-01-24 16:38:00.000000,44.18,0.0
2018-01-24 17:37:59.942400,41.32,0.0
2018-01-24 18:37:59.971200,37.97,0.0
2018-01-24 19:38:00.000000,36.65,0.0
2018-01-24 20:37:59.942400,36.32,0.0
2018-01-24 21:37:59.971200,35.55,0.0
2018-01-24 22:38:00.000000,35.16,0.0
2018-01-24 23:37:59.942400,34.72,0.0
2018-01-25 00:37:59.971200,34.57,0.0
2018-01-25 01:38:00.000000,34.82,0.0
2018-01-25 02:37:59.942400,34.41,0.0
2018-01-25 03:37:59.971200,34.96,0.0
2018-01-25 04:38:00.000000,35.13,0.0
2018-01-25 05:37:59.942400,35.04,0.0
2018-01-25 06:37:59.971200,34.9,0.0
2018-01-25 07:38:00.000000,34.76,0.0
2018-01-25 08:37:59.942400,35.51,0.0
2018-01-25 09:37:59.971200,34.78,0.0
2018-01-25 10:38:00.000000,35.09,0.0
2018-01-25 11:37:59.942400,34.88,0.0
2018-01-25 12:37:59.971200,34.69,0.0
2018-01-25 13:38:00.000000,34.96,0.0
2018-01-25 14:37:59.942400,34.6,0.0
2018-01-25 15:37:59.971200,34.25,0.0
2018-01-25 16:38:00.000000,34.0,0.0
2018-01-25 17:37:59.942400,34.3,0.0
2018-01-25 18:37:59.971200,34.03,0.0
2018-01-25 19:38:00.000000,33.84,0.0
2018-01-25 20:37:59.942400,34.04,0.0
2018-01-25 21:37:59.971200,33.84,0.0
2018-01-25 22:38:00.000000,33.43,0.0
2018-01-25 23:37:59.942400,33.47,0.0
2018-01-27 10:38:00.000000,34.94,0.0
2018-01-27 11:37:59.942400,34.66,0.0
2018-01-27 12:37:59.971200,35.04,0.0
2018-01-27 13:38:00.000000,35.05,0.0
2018-01-27 14:37:59.942400,35.27,0.0
2018-01-27 15:37:59.971200,35.09,0.0
2018-01-27 16:38:00.000000,35.13,0.0
2018-01-27 17:37:59.942400,35.09,0.0
2018-01-27 18:37:59.971200,35.16,0.0
2018-01-27 19:38:00.000000,34.88,0.0
2018-01-27 20:37:59.942400,34.87,0.0
2018-01-27 21:37:59.971200,35.13,0.0
2018-01-27 22:38:00.000000,35.27,0.0
2018-01-27 23:37:59.942400,34.82,0.0
2018-01-28 00:37:59.971200,34.85,0.0
2018-01-28 01:38:00.000000,34.45,0.0
2018-01-28 02:37:59.942400,34.54,0.0
2018-01-28 03:37:59.971200,34.01,0.0
2018-01-28 04:38:00.000000,34.41,0.0
2018-01-28 05:37:59.942400,34.07,0.0
2018-01-28 06:37:59.971200,34.39,0.0
2018-01-28 07:38:00.000000,35.95,0.0
2018-01-28 08:37:59.942400,35.38,0.0
2018-01-28 09:37:59.971200,35.37,0.0
2018-01-28 10:38:00.000000,34.77,0.0
2018-01-28 11:37:59.942400,35.57,0.0
2018-01-28 12:37:59.971200,36.31,0.0
2018-01-28 13:38:00.000000,35.97,0.0
2018-01-28 14:37:59.942400,36.53,0.0
2018-01-28 15:37:59.971200,35.77,0.0
2018-01-28 16:47:59.961600,35.29,0.0
2018-01-28 17:47:59.990400,35.44,0.0
2018-01-28 18:47:59.932800,34.78,0.0
2018-01-28 19:47:59.961600,35.1,0.0
2018-01-28 20:47:59.990400,34.23,0.0
2018-01-28 21:47:59.932800,34.21,0.0
2018-01-28 22:47:59.961600,34.69,0.0
2018-01-28 23:47:59.990400,34.51,0.0
2018-01-29 00:47:59.932800,37.89,0.0
2018-01-29 01:47:59.961600,40.01,0.0
2018-01-29 02:47:59.990400,36.65,0.0
2018-01-29 03:47:59.932800,41.66,0.0
2018-01-29 04:47:59.961600,39.71,0.0
2018-01-29 05:47:59.990400,36.15,0.0
2018-01-29 06:47:59.932800,37.77,0.0
2018-01-29 07:47:59.961600,38.17,0.0
2018-01-29 08:47:59.990400,37.02,0.0
2018-01-29 09:47:59.932800,36.94,0.0
2018-01-29 10:47:59.961600,37.17,0.0
2018-01-29 11:47:59.990400,37.38,0.0
2018-01-29 12:47:59.932800,38.01,0.0
2018-01-29 13:47:59.961600,36.42,0.0
2018-01-29 14:47:59.990400,35.6,0.0
2018-01-29 15:47:59.932800,34.78,0.0
2018-01-29 16:47:59.961600,34.53,0.0
2018-01-29 17:47:59.990400,34.47,0.0
2018-01-29 18:47:59.932800,34.38,0.0
2018-01-29 19:47:59.961600,34.04,0.0
2018-01-29 20:47:59.990400,34.26,0.0
2018-01-29 21:47:59.932800,33.92,0.0
2018-01-29 22:47:59.961600,34.1,0.0
2018-01-29 23:47:59.990400,33.97,0.0
2018-01-30 00:47:59.932800,33.84,0.0
2018-01-30 01:47:59.961600,33.58,0.0
2018-01-30 02:47:59.990400,33.61,0.0
2018-01-30 03:47:59.932800,33.7,0.0
2018-01-30 04:47:59.961600,34.08,0.0
2018-01-30 05:47:59.990400,34.27,0.0
2018-01-30 06:47:59.932800,34.35,0.0
2018-01-30 07:58:00.009600,34.27,0.0
2018-01-30 08:58:00.038400,34.5,0.0
2018-01-30 09:57:59.980800,34.51,0.0
2018-01-30 10:58:00.009600,34.93,0.0
2018-01-30 11:58:00.038400,34.72,0.0
2018-01-30 12:57:59.980800,36.57,0.0
2018-01-30 13:58:00.009600,35.45,0.0
2018-01-30 14:58:00.038400,35.2,0.0
2018-01-30 15:57:59.980800,35.37,0.0
2018-01-30 16:58:00.009600,35.55,0.0
2018-01-30 17:58:00.038400,34.87,0.0
2018-01-30 18:57:59.980800,36.1,0.0
2018-01-30 19:58:00.009600,35.37,0.0
2018-01-30 20:58:00.038400,34.84,0.0
2018-01-30 21:57:59.980800,34.81,0.0
2018-01-30 22:58:00.009600,35.03,0.0
2018-01-30 23:58:00.038400,34.31,0.0
2018-01-31 00:57:59.980800,34.23,0.0
2018-01-31 01:58:00.009600,34.12,0.0
2018-01-31 02:58:00.038400,34.24,0.0
2018-01-31 14:07:59.971200,36.97,0.0
2018-01-31 15:08:00.000000,36.31,0.0
2018-01-31 16:07:59.942400,35.58,0.0
2018-01-31 17:07:59.971200,35.2,0.0
2018-01-31 18:08:00.000000,35.85,0.0
2018-01-31 19:07:59.942400,35.44,0.0
2018-01-31 20:07:59.971200,35.47,0.0
2018-01-31 21:08:00.000000,35.91,0.0
2018-01-31 22:07:59.942400,35.47,0.0
2018-01-31 23:07:59.971200,35.35,0.0
2018-02-01 00:08:00.000000,35.03,0.0
2018-02-01 01:07:59.942400,35.94,0.0
2018-02-01 02:07:59.971200,36.1,0.0
2018-02-01 03:08:00.000000,35.44,0.0
2018-02-01 04:07:59.942400,37.77,0.0
2018-02-01 05:07:59.971200,36.59,0.0
2018-02-01 06:08:00.000000,37.23,0.0
2018-02-01 07:07:59.942400,38.16,0.0
2018-02-01 08:17:59.932800,36.5,0.0
2018-02-01 09:17:59.961600,37.13,0.0
2018-02-01 10:17:59.990400,36.46,0.0
2018-02-01 11:17:59.932800,36.59,0.0
2018-02-01 12:17:59.961600,36.91,0.0
2018-02-01 13:17:59.990400,37.48,0.0
2018-02-01 14:17:59.932800,38.41,0.0
2018-02-01 15:17:59.961600,41.49,0.0
2018-02-01 16:17:59.990400,47.46,0.0
2018-02-01 17:17:59.932800,38.92,0.0
2018-02-01 18:17:59.961600,38.92,0.0
2018-02-01 19:17:59.990400,38.12,0.0
2018-02-01 20:17:59.932800,37.52,0.0
2018-02-01 21:17:59.961600,36.53,0.0
2018-02-01 22:17:59.990400,35.81,0.0
2018-02-01 23:17:59.932800,35.6,0.0
2018-02-02 00:17:59.961600,38.45,0.0
2018-02-02 01:17:59.990400,36.88,0.0
2018-02-02 02:17:59.932800,36.63,0.0
2018-02-02 03:17:59.961600,36.76,0.0
2018-02-02 04:17:59.990400,36.42,0.0
2018-02-02 05:17:59.932800,39.02,0.0
2018-02-02 06:17:59.961600,38.05,0.0
2018-02-02 07:17:59.990400,40.77,0.0
2018-02-02 08:17:59.932800,39.63,0.0
2018-02-02 09:17:59.961600,40.73,0.0
2018-02-02 10:17:59.990400,40.32,0.0
2018-02-02 11:17:59.932800,40.66,0.0
2018-02-02 12:17:59.961600,42.39,0.0
2018-02-02 13:17:59.990400,44.12,0.0
2018-02-02 14:17:59.932800,42.61,0.0
2018-02-02 15:17:59.961600,53.6,0.0
2018-02-02 16:17:59.990400,52.18,0.0
2018-02-02 17:17:59.932800,45.1,0.0
