These data are made available to the scientific community and public with the understanding that authors of publications 
and presentations will contact the PI to obtain up-to-date information on the latest version of the data during the early stages of their analysis. 
Manuscripts that employ these data should be reviewed by the PI before submission to ensure the quality and limitations of the data are represented.  

Data Disclaimer: Data has undergone extensive quality checks and is available from NOAA-GMD and WDCGG. 
However, there still exists the potential for these data to be modified at the discretion of NOAA/ESRL Global Monitoring Division. 

If you have questions regarding the data in this file, please contact:
Audra McClure-Begley: Audra.mcclure@noaa.gov (303-497-6823)

Please use the following citation for data use: 
McClure-Begley, A., Petropavlovskikh, I., Oltmans, S., (2014) NOAA Global Monitoring Surface Ozone Network.
 Station name, Time start-Time end. National Oceanic and Atmospheric Administration, Earth Systems Research Laboratory Global Monitoring Division. 
 Boulder, CO. DATE ACCESSED http://dx.doi.org/10.7289/V57P8WBF

STN YEAR  MON  DAY  HR  O3(PPB)
SMO 2014   04  01  00    22.93
SMO 2014   04  01  01    11.50
SMO 2014   04  01  02    12.59
SMO 2014   04  01  03    12.10
SMO 2014   04  01  04     9.43
SMO 2014   04  01  05     9.47
SMO 2014   04  01  06     9.91
SMO 2014   04  01  07    13.07
SMO 2014   04  01  08    16.11
SMO 2014   04  01  09    15.61
SMO 2014   04  01  10    14.69
SMO 2014   04  01  11    10.20
SMO 2014   04  01  12    15.08
SMO 2014   04  01  13    13.12
SMO 2014   04  01  14    12.61
SMO 2014   04  01  15    13.28
SMO 2014   04  01  16    13.22
SMO 2014   04  01  17    11.43
SMO 2014   04  01  18    11.08
SMO 2014   04  01  19    10.20
SMO 2014   04  01  20     9.10
SMO 2014   04  01  21     8.05
SMO 2014   04  01  22     5.88
SMO 2014   04  01  23     8.33
SMO 2014   04  02  00     6.88
SMO 2014   04  02  01     6.70
SMO 2014   04  02  02     7.17
SMO 2014   04  02  03     9.25
SMO 2014   04  02  04    11.08
SMO 2014   04  02  05     9.64
SMO 2014   04  02  06     8.26
SMO 2014   04  02  07     7.47
SMO 2014   04  02  08     6.55
SMO 2014   04  02  09     6.81
SMO 2014   04  02  10     6.68
SMO 2014   04  02  11     8.06
SMO 2014   04  02  12     9.45
SMO 2014   04  02  13    10.38
SMO 2014   04  02  14     8.85
SMO 2014   04  02  15     7.33
SMO 2014   04  02  16     6.92
SMO 2014   04  02  17     7.68
SMO 2014   04  02  18     7.04
SMO 2014   04  02  19     6.79
SMO 2014   04  02  20     6.37
SMO 2014   04  02  21     6.79
SMO 2014   04  02  22     6.67
SMO 2014   04  02  23     6.41
SMO 2014   04  03  00     6.52
SMO 2014   04  03  01     6.05
SMO 2014   04  03  02     6.21
SMO 2014   04  03  03     6.17
SMO 2014   04  03  04     6.21
SMO 2014   04  03  05     6.45
SMO 2014   04  03  06     6.23
SMO 2014   04  03  07     6.10
SMO 2014   04  03  08     5.79
SMO 2014   04  03  09     5.53
SMO 2014   04  03  10     5.52
SMO 2014   04  03  11     5.51
SMO 2014   04  03  12     5.67
SMO 2014   04  03  13     5.60
SMO 2014   04  03  14     5.59
SMO 2014   04  03  15     5.58
SMO 2014   04  03  16     5.55
SMO 2014   04  03  17     5.59
SMO 2014   04  03  18     5.77
SMO 2014   04  03  19     5.49
SMO 2014   04  03  20     5.17
SMO 2014   04  03  21     5.00
SMO 2014   04  03  22     5.11
SMO 2014   04  03  23     4.87
SMO 2014   04  04  00     4.66
SMO 2014   04  04  01     4.70
SMO 2014   04  04  02     4.69
SMO 2014   04  04  03     4.88
SMO 2014   04  04  04     6.35
SMO 2014   04  04  05     6.17
SMO 2014   04  04  06     6.12
SMO 2014   04  04  07     6.41
SMO 2014   04  04  08     7.41
SMO 2014   04  04  09     9.00
SMO 2014   04  04  10     7.39
SMO 2014   04  04  11     8.31
SMO 2014   04  04  12     8.12
SMO 2014   04  04  13     9.57
SMO 2014   04  04  14     9.94
SMO 2014   04  04  15    10.14
SMO 2014   04  04  16     9.03
SMO 2014   04  04  17     8.53
SMO 2014   04  04  18     9.35
SMO 2014   04  04  19     8.73
SMO 2014   04  04  20     8.06
SMO 2014   04  04  21     7.86
SMO 2014   04  04  22     8.01
SMO 2014   04  04  23     7.82
SMO 2014   04  05  00     7.77
SMO 2014   04  05  01     7.88
SMO 2014   04  05  02     7.88
SMO 2014   04  05  03     7.66
SMO 2014   04  05  04     7.64
SMO 2014   04  05  05     7.73
SMO 2014   04  05  06     7.65
SMO 2014   04  05  07     7.73
SMO 2014   04  05  08     7.48
SMO 2014   04  05  09     7.49
SMO 2014   04  05  10     7.85
SMO 2014   04  05  11     7.98
SMO 2014   04  05  12     8.19
SMO 2014   04  05  13     8.26
SMO 2014   04  05  14     8.56
SMO 2014   04  05  15     9.01
SMO 2014   04  05  16     9.26
SMO 2014   04  05  17     9.51
SMO 2014   04  05  18     9.19
SMO 2014   04  05  19     8.67
SMO 2014   04  05  20     8.68
SMO 2014   04  05  21     8.63
SMO 2014   04  05  22     8.44
SMO 2014   04  05  23     7.97
SMO 2014   04  06  00     7.82
SMO 2014   04  06  01     7.54
SMO 2014   04  06  02     7.34
SMO 2014   04  06  03     7.02
SMO 2014   04  06  04     7.29
SMO 2014   04  06  05     7.63
SMO 2014   04  06  06     6.84
SMO 2014   04  06  07     6.87
SMO 2014   04  06  08     6.78
SMO 2014   04  06  09     7.24
SMO 2014   04  06  10     7.35
SMO 2014   04  06  11     7.52
SMO 2014   04  06  12     6.84
SMO 2014   04  06  13     8.22
SMO 2014   04  06  14     7.22
SMO 2014   04  06  15     7.45
SMO 2014   04  06  16     7.87
SMO 2014   04  06  17     7.84
SMO 2014   04  06  18     8.64
SMO 2014   04  06  19     8.22
SMO 2014   04  06  20     7.86
SMO 2014   04  06  21     7.86
SMO 2014   04  06  22     7.86
SMO 2014   04  06  23     8.17
SMO 2014   04  07  00     7.84
SMO 2014   04  07  01     7.53
SMO 2014   04  07  02     8.00
SMO 2014   04  07  03     8.12
SMO 2014   04  07  04     7.92
SMO 2014   04  07  05     8.21
SMO 2014   04  07  06     8.56
SMO 2014   04  07  07     9.30
SMO 2014   04  07  08    11.44
SMO 2014   04  07  09    11.84
SMO 2014   04  07  10    11.68
SMO 2014   04  07  11    12.14
SMO 2014   04  07  12    13.12
SMO 2014   04  07  13    13.48
SMO 2014   04  07  14    14.56
SMO 2014   04  07  15    14.48
SMO 2014   04  07  16    14.64
SMO 2014   04  07  17    14.60
SMO 2014   04  07  18    13.88
SMO 2014   04  07  19    13.36
SMO 2014   04  07  20    13.66
SMO 2014   04  07  21    13.80
