These data are made available to the scientific community and public with the understanding that authors of publications 
and presentations will contact the PI to obtain up-to-date information on the latest version of the data during the early stages of their analysis. 
Manuscripts that employ these data should be reviewed by the PI before submission to ensure the quality and limitations of the data are represented.  

Data Disclaimer: Data has undergone extensive quality checks and is available from NOAA-GMD and WDCGG. 
However, there still exists the potential for these data to be modified at the discretion of NOAA/ESRL Global Monitoring Division. 

If you have questions regarding the data in this file, please contact:
Audra McClure-Begley: Audra.mcclure@noaa.gov (303-497-6823)

Please use the following citation for data use: 
McClure-Begley, A., Petropavlovskikh, I., Oltmans, S., (2014) NOAA Global Monitoring Surface Ozone Network.
 Station name, Time start-Time end. National Oceanic and Atmospheric Administration, Earth Systems Research Laboratory Global Monitoring Division. 
 Boulder, CO. DATE ACCESSED http://dx.doi.org/10.7289/V57P8WBF

STN YEAR  MON  DAY  HR  MIN  O3(PPB)
SMO 2014   11  01  00    00    13.29
SMO 2014   11  01  01    00    12.86
SMO 2014   11  01  02    00    12.62
SMO 2014   11  01  03    00    12.63
SMO 2014   11  01  04    00    12.44
SMO 2014   11  01  05    00    12.61
SMO 2014   11  01  06    00    12.67
SMO 2014   11  01  07    00    12.77
SMO 2014   11  01  08    00    12.83
SMO 2014   11  01  09    00    12.80
SMO 2014   11  01  10    00    12.96
SMO 2014   11  01  11    00    12.77
SMO 2014   11  01  12    00    12.42
SMO 2014   11  01  13    00    12.86
SMO 2014   11  01  14    00    12.78
SMO 2014   11  01  15    00    12.57
SMO 2014   11  01  16    00    13.18
SMO 2014   11  01  17    00    15.20
SMO 2014   11  01  18    00    22.10
SMO 2014   11  01  19    00    23.98
SMO 2014   11  01  20    00    23.33
SMO 2014   11  01  21    00    23.61
SMO 2014   11  01  22    00    21.64
SMO 2014   11  01  23    00    20.34
SMO 2014   11  02  00    00    21.20
SMO 2014   11  02  01    00    23.61
SMO 2014   11  02  02    00    21.17
SMO 2014   11  02  03    00    18.49
SMO 2014   11  02  04    00    20.89
SMO 2014   11  02  05    00    18.38
SMO 2014   11  02  06    00    16.82
SMO 2014   11  02  07    00    20.59
SMO 2014   11  02  08    00    20.85
SMO 2014   11  02  09    00    20.38
SMO 2014   11  02  10    00    21.55
SMO 2014   11  02  11    00    22.44
SMO 2014   11  02  12    00    22.47
SMO 2014   11  02  13    00    22.23
SMO 2014   11  02  14    00    23.64
SMO 2014   11  02  15    00    23.04
SMO 2014   11  02  16    00    22.48
SMO 2014   11  02  17    00    23.51
SMO 2014   11  02  18    00    21.52
SMO 2014   11  02  19    00    23.65
SMO 2014   11  02  20    00    22.53
SMO 2014   11  02  21    00    24.95
SMO 2014   11  02  22    00    24.85
SMO 2014   11  02  23    00    23.27
SMO 2014   11  03  00    00    21.96
SMO 2014   11  03  01    00    21.09
SMO 2014   11  03  02    00    20.02
SMO 2014   11  03  03    00    22.03
SMO 2014   11  03  04    00    24.44
SMO 2014   11  03  05    00    24.80
SMO 2014   11  03  06    00    22.27
SMO 2014   11  03  07    00    20.52
SMO 2014   11  03  08    00    20.19
SMO 2014   11  03  09    00    21.30
SMO 2014   11  03  10    00    21.50
SMO 2014   11  03  11    00    20.31
SMO 2014   11  03  12    00    19.73
SMO 2014   11  03  13    00    21.87
SMO 2014   11  03  14    00    22.73
SMO 2014   11  03  15    00    21.39
SMO 2014   11  03  16    00    25.05
SMO 2014   11  03  17    00    27.12
SMO 2014   11  03  18    00    26.70
SMO 2014   11  03  19    00    26.71
SMO 2014   11  03  20    00    26.73
SMO 2014   11  03  21    00    26.13
SMO 2014   11  03  22    40    26.41
SMO 2014   11  03  22    45    25.11
SMO 2014   11  03  22    50    25.67
SMO 2014   11  03  22    55    24.84
SMO 2014   11  03  23    00    25.93
SMO 2014   11  03  23    05    25.19
SMO 2014   11  03  23    10    24.75
SMO 2014   11  03  23    15    24.90
SMO 2014   11  03  23    20    25.08
SMO 2014   11  03  23    25    24.00
SMO 2014   11  03  23    30    24.89
SMO 2014   11  03  23    35    24.20
SMO 2014   11  03  23    40    24.39
SMO 2014   11  03  23    45    22.94
SMO 2014   11  03  23    50    23.19
SMO 2014   11  03  23    55    23.03
SMO 2014   11  04  00    00    21.78
SMO 2014   11  04  00    05    22.47
SMO 2014   11  04  00    10    22.11
SMO 2014   11  04  00    15    23.60
SMO 2014   11  04  00    20    22.37
SMO 2014   11  04  00    25    22.94
SMO 2014   11  04  00    30    22.67
SMO 2014   11  04  00    35    22.35
SMO 2014   11  04  00    40    22.35
SMO 2014   11  04  00    45    23.78
SMO 2014   11  04  00    50    22.00
SMO 2014   11  04  00    55    23.41
SMO 2014   11  04  01    00    22.73
SMO 2014   11  04  01    05    23.06
SMO 2014   11  04  01    10    23.40
SMO 2014   11  04  01    15    22.09
SMO 2014   11  04  01    20    23.17
SMO 2014   11  04  01    25    22.47
SMO 2014   11  04  01    30    22.42
SMO 2014   11  04  01    35    22.10
SMO 2014   11  04  01    40    22.82
SMO 2014   11  04  01    45    22.83
SMO 2014   11  04  01    50    22.37
SMO 2014   11  04  01    55    22.83
SMO 2014   11  04  02    00    22.71
SMO 2014   11  04  02    05    23.53
SMO 2014   11  04  02    10    22.49
SMO 2014   11  04  02    15    23.14
SMO 2014   11  04  02    20    22.95
SMO 2014   11  04  02    25    22.64
SMO 2014   11  04  02    30    23.02
SMO 2014   11  04  02    35    22.75
SMO 2014   11  04  02    40    22.90
SMO 2014   11  04  02    45    22.32
SMO 2014   11  04  02    50    22.32
SMO 2014   11  04  02    55    21.93
SMO 2014   11  04  03    00    22.34
SMO 2014   11  04  03    05    21.69
SMO 2014   11  04  03    10    22.14
SMO 2014   11  04  03    15    21.82
SMO 2014   11  04  03    20    22.24
SMO 2014   11  04  03    25    22.25
SMO 2014   11  04  03    30    22.90
SMO 2014   11  04  03    35    22.12
SMO 2014   11  04  03    40    22.49
SMO 2014   11  04  03    45    22.40
SMO 2014   11  04  03    50    22.56
SMO 2014   11  04  03    55    22.05
SMO 2014   11  04  04    00    22.40
SMO 2014   11  04  04    05    22.83
SMO 2014   11  04  04    10    22.94
SMO 2014   11  04  04    15    22.35
SMO 2014   11  04  04    20    22.68
SMO 2014   11  04  04    25    21.81
SMO 2014   11  04  04    30    22.10
SMO 2014   11  04  04    35    22.52
SMO 2014   11  04  04    40    22.26
SMO 2014   11  04  04    45    22.33
SMO 2014   11  04  04    50    21.96
SMO 2014   11  04  04    55    22.92
SMO 2014   11  04  05    00    21.37
SMO 2014   11  04  05    05    22.03
SMO 2014   11  04  05    10    21.29
SMO 2014   11  04  05    15    20.95
SMO 2014   11  04  05    20    21.36
SMO 2014   11  04  05    25    20.75
SMO 2014   11  04  05    30    21.60
SMO 2014   11  04  05    35    21.44
SMO 2014   11  04  05    40    21.80
SMO 2014   11  04  05    45    21.22
SMO 2014   11  04  05    50    21.40
SMO 2014   11  04  05    55    22.33
SMO 2014   11  04  06    00    21.53
SMO 2014   11  04  06    05    21.78
SMO 2014   11  04  06    10    21.78
SMO 2014   11  04  06    15    22.05
SMO 2014   11  04  06    20    22.32
SMO 2014   11  04  06    25    22.24
SMO 2014   11  04  06    30    23.07
SMO 2014   11  04  06    35    21.46
SMO 2014   11  04  06    40    22.30
SMO 2014   11  04  06    45    21.83
SMO 2014   11  04  06    50    20.82
SMO 2014   11  04  06    55    22.23
SMO 2014   11  04  07    00    20.90
SMO 2014   11  04  07    05    22.06
SMO 2014   11  04  07    10    22.59
SMO 2014   11  04  07    15    22.74
SMO 2014   11  04  07    20    22.54
SMO 2014   11  04  07    25    21.50
SMO 2014   11  04  07    30    22.33
SMO 2014   11  04  07    35    21.87
SMO 2014   11  04  07    40    22.48
SMO 2014   11  04  07    45    21.97
SMO 2014   11  04  07    50    22.34
SMO 2014   11  04  07    55    23.37
SMO 2014   11  04  08    00    22.39
SMO 2014   11  04  08    05    22.78
SMO 2014   11  04  08    10    21.38
SMO 2014   11  04  08    15    22.43
SMO 2014   11  04  08    20    22.21
SMO 2014   11  04  08    25    21.99
SMO 2014   11  04  08    30    22.38
SMO 2014   11  04  08    35    22.00
SMO 2014   11  04  08    40    23.47
SMO 2014   11  04  08    45    22.82
SMO 2014   11  04  08    50    21.88
SMO 2014   11  04  08    55    23.00
SMO 2014   11  04  09    00    23.75
SMO 2014   11  04  09    05    23.28
SMO 2014   11  04  09    10    21.81
SMO 2014   11  04  09    15    22.23
SMO 2014   11  04  09    20    22.98
