These data are made available to the scientific community and public with the understanding that authors of publications 
and presentations will contact the PI to obtain up-to-date information on the latest version of the data during the early stages of their analysis. 
Manuscripts that employ these data should be reviewed by the PI before submission to ensure the quality and limitations of the data are represented.  

Data Disclaimer: Data has undergone extensive quality checks and is available from NOAA-GMD and WDCGG. 
However, there still exists the potential for these data to be modified at the discretion of NOAA/ESRL Global Monitoring Division. 

If you have questions regarding the data in this file, please contact:
Audra McClure-Begley: Audra.mcclure@noaa.gov (303-497-6823)

Please use the following citation for data use: 
McClure-Begley, A., Petropavlovskikh, I., Oltmans, S., (2014) NOAA Global Monitoring Surface Ozone Network.
 Station name, Time start-Time end. National Oceanic and Atmospheric Administration, Earth Systems Research Laboratory Global Monitoring Division. 
 Boulder, CO. DATE ACCESSED http://dx.doi.org/10.7289/V57P8WBF

STN YEAR  MON  DAY  HR  O3(PPB)
SMO 2015   09  01  00    32.38
SMO 2015   09  01  01    31.96
SMO 2015   09  01  02    31.75
SMO 2015   09  01  03    31.75
SMO 2015   09  01  04  9999.99
SMO 2015   09  05  04    25.39
SMO 2015   09  05  05    25.42
SMO 2015   09  05  06    25.98
SMO 2015   09  05  07    26.17
SMO 2015   09  05  08    26.32
SMO 2015   09  05  09    26.68
SMO 2015   09  05  10    26.85
SMO 2015   09  05  11    27.08
SMO 2015   09  05  12    27.29
SMO 2015   09  05  13    27.35
SMO 2015   09  05  14    27.44
SMO 2015   09  05  15    27.87
SMO 2015   09  05  16    27.98
SMO 2015   09  05  17    28.16
SMO 2015   09  05  18    28.52
SMO 2015   09  05  19    28.91
SMO 2015   09  05  20    28.93
SMO 2015   09  05  21    28.53
SMO 2015   09  05  22    27.87
SMO 2015   09  05  23    27.15
SMO 2015   09  06  00    26.71
SMO 2015   09  06  01    26.35
SMO 2015   09  06  02    25.94
SMO 2015   09  06  03    26.29
SMO 2015   09  06  04    26.96
SMO 2015   09  06  05    28.30
SMO 2015   09  06  06    30.13
SMO 2015   09  06  07    32.39
SMO 2015   09  06  08    33.35
SMO 2015   09  06  09    32.93
SMO 2015   09  06  10    34.14
SMO 2015   09  06  11    35.09
SMO 2015   09  06  12    35.56
SMO 2015   09  06  13    35.36
SMO 2015   09  06  14    35.13
SMO 2015   09  06  15    35.65
SMO 2015   09  06  16    36.66
SMO 2015   09  06  17    37.80
SMO 2015   09  06  18    37.38
SMO 2015   09  06  19    38.32
SMO 2015   09  06  20    38.56
SMO 2015   09  06  21    38.08
SMO 2015   09  06  22    37.72
SMO 2015   09  06  23    36.78
SMO 2015   09  07  00    35.91
SMO 2015   09  07  01    34.55
SMO 2015   09  07  02    33.00
SMO 2015   09  07  03    32.65
SMO 2015   09  07  04    33.46
SMO 2015   09  07  05    33.13
SMO 2015   09  07  06    32.66
SMO 2015   09  07  07    34.46
SMO 2015   09  07  08    35.34
SMO 2015   09  07  09    33.96
SMO 2015   09  07  10    30.49
SMO 2015   09  07  11    29.56
SMO 2015   09  07  12    29.13
SMO 2015   09  07  13    28.52
SMO 2015   09  07  14    28.16
SMO 2015   09  07  15    27.92
SMO 2015   09  07  16    27.94
SMO 2015   09  07  17    27.28
SMO 2015   09  07  18    27.78
SMO 2015   09  07  19    27.12
SMO 2015   09  07  20    26.73
SMO 2015   09  07  21    26.10
SMO 2015   09  07  22    25.31
SMO 2015   09  07  23    24.41
SMO 2015   09  08  00    23.54
SMO 2015   09  08  01    23.07
SMO 2015   09  08  02    23.14
SMO 2015   09  08  03    23.08
SMO 2015   09  08  04    23.13
SMO 2015   09  08  05    23.52
SMO 2015   09  08  06    23.97
SMO 2015   09  08  07    24.17
SMO 2015   09  08  08    24.50
SMO 2015   09  08  09    24.79
SMO 2015   09  08  10    25.25
SMO 2015   09  08  11    25.82
SMO 2015   09  08  12    26.41
SMO 2015   09  08  13    26.76
SMO 2015   09  08  14    27.09
SMO 2015   09  08  15    27.77
SMO 2015   09  08  16    27.73
SMO 2015   09  08  17    28.03
SMO 2015   09  08  18    28.06
SMO 2015   09  08  19    27.35
SMO 2015   09  08  20    25.17
SMO 2015   09  08  21    22.74
SMO 2015   09  08  22    21.27
SMO 2015   09  08  23    21.05
SMO 2015   09  09  00    21.16
SMO 2015   09  09  01    20.49
SMO 2015   09  09  02    21.28
SMO 2015   09  09  03    22.11
SMO 2015   09  09  04    22.89
SMO 2015   09  09  05    23.63
SMO 2015   09  09  06    24.02
SMO 2015   09  09  07    24.31
SMO 2015   09  09  08    24.74
SMO 2015   09  09  09    24.81
SMO 2015   09  09  10    24.93
SMO 2015   09  09  11    25.25
SMO 2015   09  09  12    25.57
SMO 2015   09  09  13    25.44
SMO 2015   09  09  14    25.19
SMO 2015   09  09  15    24.90
SMO 2015   09  09  16    25.38
SMO 2015   09  09  17    25.49
SMO 2015   09  09  18    26.03
SMO 2015   09  09  19    25.48
SMO 2015   09  09  20    25.46
SMO 2015   09  09  21    25.50
SMO 2015   09  09  22    25.46
SMO 2015   09  09  23    25.89
SMO 2015   09  10  00    25.68
SMO 2015   09  10  01    25.31
SMO 2015   09  10  02    25.74
SMO 2015   09  10  03    26.66
SMO 2015   09  10  04    26.91
